Paradigm,Order,Class,Lemma,Stem,Subject,Mode,Negation,Form1,Form1Split
VAI,Cnj,oo,maajiibatoo,maajiibatoo,1Sg,Dub,Neg,maajiibatoosiiwaanen,<<maajiibatoo>>siiwaanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,1Sg,Dub,Pos,maajiibatoowaanen,<<maajiibatoo>>waanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,1Sg,Dub+Prt,Neg,maajiibatoosiiwaambaanen,<<maajiibatoo>>siiwaambaanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,1Sg,Dub+Prt,Pos,maajiibatoowaambaanen,<<maajiibatoo>>waambaanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,1Sg,Neu,Neg,maajiibatoosiwaan,<<maajiibatoo>>siwaan
VAI,Cnj,oo,maajiibatoo,maajiibatoo,1Sg,Neu,Pos,maajiibatooyaan,<<maajiibatoo>>yaan
VAI,Cnj,oo,maajiibatoo,maajiibatoo,1Sg,Prt,Neg,maajiibatoosiwaambaan,<<maajiibatoo>>siwaambaan
VAI,Cnj,oo,maajiibatoo,maajiibatoo,1Sg,Prt,Pos,maajiibatooyaambaan,<<maajiibatoo>>yaambaan
VAI,Cnj,oo,maajiibatoo,maajiibatoo,2Pl,Dub,Neg,maajiibatoosiiwegwen,<<maajiibatoo>>siiwegwen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,2Pl,Dub,Pos,maajiibatoowegwen,<<maajiibatoo>>wegwen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,2Pl,Dub+Prt,Neg,maajiibatoosiiwegibanen,<<maajiibatoo>>siiwegibanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,2Pl,Dub+Prt,Pos,maajiibatoowegibanen,<<maajiibatoo>>wegibanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,2Pl,Neu,Neg,maajiibatoosiweg,<<maajiibatoo>>siweg
VAI,Cnj,oo,maajiibatoo,maajiibatoo,2Pl,Neu,Pos,maajiibatooyeg,<<maajiibatoo>>yeg
VAI,Cnj,oo,maajiibatoo,maajiibatoo,2Pl,Prt,Neg,maajiibatoosiwegiban,<<maajiibatoo>>siwegiban
VAI,Cnj,oo,maajiibatoo,maajiibatoo,2Pl,Prt,Pos,maajiibatooyegiban,<<maajiibatoo>>yegiban
VAI,Cnj,oo,maajiibatoo,maajiibatoo,2Sg,Dub,Neg,maajiibatoosiiwanen,<<maajiibatoo>>siiwanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,2Sg,Dub,Pos,maajiibatoowanen,<<maajiibatoo>>wanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,2Sg,Dub+Prt,Neg,maajiibatoosiiwambanen,<<maajiibatoo>>siiwambanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,2Sg,Dub+Prt,Pos,maajiibatoowambanen,<<maajiibatoo>>wambanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,2Sg,Neu,Neg,maajiibatoosiwan ,<<maajiibatoo>>siwan 
VAI,Cnj,oo,maajiibatoo,maajiibatoo,2Sg,Neu,Pos,maajiibatooyan ,<<maajiibatoo>>yan 
VAI,Cnj,oo,maajiibatoo,maajiibatoo,2Sg,Prt,Neg,maajiibatoosiwamban,<<maajiibatoo>>siwamban
VAI,Cnj,oo,maajiibatoo,maajiibatoo,2Sg,Prt,Pos,maajiibatooyamban,<<maajiibatoo>>yamban
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3PlObv,Dub,Neg,maajiibatoosiinigwen,<<maajiibatoo>>siinigwen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3PlObv,Dub,Pos,maajiibatoonigwen,<<maajiibatoo>>nigwen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3PlObv,Dub+Prt,Neg,maajiibatoosiinigobanen,<<maajiibatoo>>siinigobanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3PlObv,Dub+Prt,Pos,maajiibatoonigobanen,<<maajiibatoo>>nigobanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3PlObv,Neu,Neg,maajiibatoosinig,<<maajiibatoo>>sinig
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3PlObv,Neu,Pos,maajiibatoonid,<<maajiibatoo>>nid
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3PlObv,Prt,Neg,maajiibatoosinigoban,<<maajiibatoo>>sinigoban
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3PlObv,Prt,Pos,maajiibatoonipan,<<maajiibatoo>>nipan
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3PlProx,Dub,Neg,maajiibatoosiiwaagwen,<<maajiibatoo>>siiwaagwen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3PlProx,Dub,Pos,maajiibatoowaagwen,<<maajiibatoo>>waagwen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3PlProx,Dub+Prt,Neg,maajiibatoosiiwaagobanen,<<maajiibatoo>>siiwaagobanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3PlProx,Dub+Prt,Pos,maajiibatoowaagobanen,<<maajiibatoo>>waagobanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3PlProx,Neu,Neg,maajiibatoosigwaa,<<maajiibatoo>>sigwaa
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3PlProx,Neu,Pos,maajiibatoowaad,<<maajiibatoo>>waad
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3PlProx,Prt,Neg,maajiibatoosigwaaban,<<maajiibatoo>>sigwaaban
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3PlProx,Prt,Pos,maajiibatoowaapan,<<maajiibatoo>>waapan
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgObv,Dub,Neg,maajiibatoosiinigwen,<<maajiibatoo>>siinigwen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgObv,Dub,Pos,maajiibatoonigwen,<<maajiibatoo>>nigwen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgObv,Dub+Prt,Neg,maajiibatoosiinigobanen,<<maajiibatoo>>siinigobanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgObv,Dub+Prt,Pos,maajiibatoonigobanen,<<maajiibatoo>>nigobanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgObv,Neu,Neg,maajiibatoosinig,<<maajiibatoo>>sinig
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgObv,Neu,Pos,maajiibatoonid,<<maajiibatoo>>nid
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgObv,Prt,Neg,maajiibatoosinigoban,<<maajiibatoo>>sinigoban
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgObv,Prt,Pos,maajiibatoonipan,<<maajiibatoo>>nipan
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgProx,Dub,Neg,maajiibatoosiigwen,<<maajiibatoo>>siigwen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgProx,Dub,Pos,maajiibatoogwen,<<maajiibatoo>>gwen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgProx,Dub+Prt,Neg,maajiibatoosiigobanen,<<maajiibatoo>>siigobanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgProx,Dub+Prt,Pos,maajiibatoogobanen,<<maajiibatoo>>gobanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgProx,Neu,Neg,maajiibatoosig,<<maajiibatoo>>sig
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgProx,Neu,Pos,maajiibatood,<<maajiibatoo>>d
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgProx,Prt,Neg,maajiibatoosigoban,<<maajiibatoo>>sigoban
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgProx,Prt,Pos,maajiibatoopan,<<maajiibatoo>>pan
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Excl,Dub,Neg,maajiibatoosiiwaangen,<<maajiibatoo>>siiwaangen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Excl,Dub,Pos,maajiibatoowaangen,<<maajiibatoo>>waangen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Excl,Dub+Prt,Neg,maajiibatoosiiwaangibanen,<<maajiibatoo>>siiwaangibanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Excl,Dub+Prt,Pos,maajiibatoowaangibanen,<<maajiibatoo>>waangibanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Excl,Neu,Neg,maajiibatoosiwaang,<<maajiibatoo>>siwaang
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Excl,Neu,Pos,maajiibatooyaang,<<maajiibatoo>>yaang
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Excl,Prt,Neg,maajiibatoosiwaangiban,<<maajiibatoo>>siwaangiban
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Excl,Prt,Pos,maajiibatooyaangiban,<<maajiibatoo>>yaangiban
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Incl,Dub,Neg,maajiibatoosiiwangen,<<maajiibatoo>>siiwangen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Incl,Dub,Pos,maajiibatoowangen,<<maajiibatoo>>wangen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Incl,Dub+Prt,Neg,maajiibatoosiiwangibanen,<<maajiibatoo>>siiwangibanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Incl,Dub+Prt,Pos,maajiibatoowangibanen,<<maajiibatoo>>wangibanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Incl,Neu,Neg,maajiibatoosiwang,<<maajiibatoo>>siwang
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Incl,Neu,Pos,maajiibatooyang,<<maajiibatoo>>yang
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Incl,Prt,Neg,maajiibatoosiwangiban,<<maajiibatoo>>siwangiban
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Incl,Prt,Pos,maajiibatooyangiban,<<maajiibatoo>>yangiban
VAI,Cnj,oo,maajiibatoo,maajiibatoo,X,Dub,Neg,maajiibatoosiiwiingen,<<maajiibatoo>>siiwiingen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,X,Dub,Pos,maajiibatoowiingen,<<maajiibatoo>>wiingen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,X,Dub+Prt,Neg,maajiibatoosiiwiingibanen,<<maajiibatoo>>siiwiingibanen
