Paradigm,Order,Class,Lemma,Stem,Subject,Mode,Negation,Form1Surface,Form1Split,Sorm1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
VAI,Ind,oo,maajiibatoo,maajiibatoo,1Sg,Dub,Neg,nimaajiibatoosiinaadog,ni<<maajiibatoo>>siinaadog,JDN-PC,,,,,,
VAI,Ind,ii,madaabii,madaabii,1Sg,Dub,Neg,nimadaabiisiinaadog,ni<<madaabii>>siinaadog,JDN-PC,,,,,,
VAI,Ind,m,minongwaam,minongwaam,1Sg,Dub,Neg,niminongwaanziinaadog,ni<<minongwaan>>ziinaadog,JDN-PC,,,,,,
VAI,Ind,o,nagamo,nagamo,1Sg,Dub,Neg,ninagamosiinaadog,ni<<nagamo>>siinaadog,JDN-PC,,,,,,
VAI,Ind,aa,nibaa,nibaa,1Sg,Dub,Neg,ninibaasiinaadog,ni<<nibaa>>siinaadog,JDN-PC,,,,,,
VAI,Ind,i,niimi,niimi,1Sg,Dub,Neg,niniimisiinaadog,ni<<niimi>>siinaadog,JDN-PC,,,,,,
VAI,Ind,n,wanishin,wanishin,1Sg,Dub,Neg,niwanishinziinaadog,ni<<wanishin>>ziinaadog,JDN-PC,,,,,,
VAI,Ind,e,webinige,webinige,1Sg,Dub,Neg,niwebinigesiinaadog,ni<<webinige>>siinaadog,JDN-PC,,,,,,
VAI,Ind,am,zaaga'am,zaaga',1Sg,Dub,Neg,nizaaga'anziinaadog,ni<<zaaga'>>anziinaadog,JDN-PC,,,,,,
VAI,Ind,oo,maajiibatoo,maajiibatoo,2Pl,Dub,Neg,gimaajiibatoosiimwaadog,gi<<maajiibatoo>>siimwaadog,JDN-PC,,,,,,
VAI,Ind,ii,madaabii,madaabii,2Pl,Dub,Neg,gimadaabiisiimwaadog,gi<<madaabii>>siimwaadog,JDN-PC,,,,,,
VAI,Ind,m,minongwaam,minongwaam,2Pl,Dub,Neg,giminongwaanziimwaadog,gi<<minongwaan>>ziimwaadog,JDN-PC,,,,,,
VAI,Ind,o,nagamo,nagamo,2Pl,Dub,Neg,ginagamosiimwaadog,gi<<nagamo>>siimwaadog,JDN-PC,,,,,,
VAI,Ind,aa,nibaa,nibaa,2Pl,Dub,Neg,ginibaasiimwaadog,gi<<nibaa>>siimwaadog,JDN-PC,,,,,,
VAI,Ind,i,niimi,niimi,2Pl,Dub,Neg,giniimisiimwaadog,gi<<niimi>>siimwaadog,JDN-PC,,,,,,
VAI,Ind,n,wanishin,wanishin,2Pl,Dub,Neg,giwanishinziimwaadog,gi<<wanishin>>ziimwaadog,JDN-PC,,,,,,
VAI,Ind,e,webinige,webinige,2Pl,Dub,Neg,giwebinigesiimwaadog,gi<<webinige>>siimwaadog,JDN-PC,,,,,,
VAI,Ind,am,zaaga'am,zaaga',2Pl,Dub,Neg,gizaaga'anziimwaadog,gi<<zaaga'>>anziimwaadog,JDN-PC,,,,,,
VAI,Ind,oo,maajiibatoo,maajiibatoo,2Sg,Dub,Neg,gimaajiibatoosiinaadog,gi<<maajiibatoo>>siinaadog,JDN-PC,,,,,,
VAI,Ind,ii,madaabii,madaabii,2Sg,Dub,Neg,gimadaabiisiinaadog,gi<<madaabii>>siinaadog,JDN-PC,,,,,,
VAI,Ind,m,minongwaam,minongwaam,2Sg,Dub,Neg,giminongwaanziinaadog,gi<<minongwaan>>ziinaadog,JDN-PC,,,,,,
VAI,Ind,o,nagamo,nagamo,2Sg,Dub,Neg,ginagamosiinaadog,gi<<nagamo>>siinaadog,JDN-PC,,,,,,
VAI,Ind,aa,nibaa,nibaa,2Sg,Dub,Neg,ginibaasiinaadog,gi<<nibaa>>siinaadog,JDN-PC,,,,,,
VAI,Ind,i,niimi,niimi,2Sg,Dub,Neg,giniimisiinaadog,gi<<niimi>>siinaadog,JDN-PC,,,,,,
VAI,Ind,n,wanishin,wanishin,2Sg,Dub,Neg,giwanishinziinaadog,gi<<wanishin>>ziinaadog,JDN-PC,,,,,,
VAI,Ind,e,webinige,webinige,2Sg,Dub,Neg,giwebinigesiinaadog,gi<<webinige>>siinaadog,JDN-PC,,,,,,
VAI,Ind,am,zaaga'am,zaaga',2Sg,Dub,Neg,gizaaga'anziinaadog,gi<<zaaga'>>anziinaadog,JDN-PC,,,,,,
VAI,Ind,oo,maajiibatoo,maajiibatoo,3PlObv,Dub,Neg,maajiibatoosiidogena',<<maajiibatoo>>siidogena',GUESS,maajiibatoosiidogenan,<<maajiibatoo>>siidogenan,JDN-PC,,,
VAI,Ind,ii,madaabii,madaabii,3PlObv,Dub,Neg,madaabiisiidogena',<<madaabii>>siidogena',GUESS,madaabiisiidogenan,<<madaabii>>siidogenan,JDN-PC,,,
VAI,Ind,m,minongwaam,minongwaam,3PlObv,Dub,Neg,minongwaanziidogena',<<minongwaan>>ziidogena',GUESS,minongwaanziidogenan,<<minongwaan>>ziidogenan,JDN-PC,,,
VAI,Ind,o,nagamo,nagamo,3PlObv,Dub,Neg,nagamosiidogena',<<nagamo>>siidogena',GUESS,nagamosiidogenan,<<nagamo>>siidogenan,JDN-PC,,,
VAI,Ind,aa,nibaa,nibaa,3PlObv,Dub,Neg,nibaasiidogena',<<nibaa>>siidogena',GUESS,nibaasiidogenan,<<nibaa>>siidogenan,JDN-PC,,,
VAI,Ind,i,niimi,niimi,3PlObv,Dub,Neg,niimisiidogena',<<niimi>>siidogena',GUESS,niimisiidogenan,<<niimi>>siidogenan,JDN-PC,,,
VAI,Ind,n,wanishin,wanishin,3PlObv,Dub,Neg,wanishinziidogena',<<wanishin>>ziidogena',GUESS,wanishinziidogenan,<<wanishin>>ziidogenan,JDN-PC,,,
VAI,Ind,e,webinige,webinige,3PlObv,Dub,Neg,webinigesiidogena',<<webinige>>siidogena',GUESS,webinigesiidogenan,<<webinige>>siidogenan,JDN-PC,,,
VAI,Ind,am,zaaga'am,zaaga',3PlObv,Dub,Neg,zaaga'anziidogena',<<zaaga'>>anziidogena',GUESS,zaaga'anziidogenan,<<zaaga'>>anziidogenan,JDN-PC,,,
VAI,Ind,oo,maajiibatoo,maajiibatoo,3PlProx,Dub,Neg,maajiibatoosiidogenag,<<maajiibatoo>>siidogenag,JDN-PC,,,,,,
VAI,Ind,ii,madaabii,madaabii,3PlProx,Dub,Neg,madaabiisiidogenag,<<madaabii>>siidogenag,JDN-PC,,,,,,
VAI,Ind,m,minongwaam,minongwaam,3PlProx,Dub,Neg,minongwaanziidogenag,<<minongwaan>>ziidogenag,JDN-PC,,,,,,
VAI,Ind,o,nagamo,nagamo,3PlProx,Dub,Neg,nagamosiidogenag,<<nagamo>>siidogenag,JDN-PC,,,,,,
VAI,Ind,aa,nibaa,nibaa,3PlProx,Dub,Neg,nibaasiidogenag,<<nibaa>>siidogenag,JDN-PC,,,,,,
VAI,Ind,i,niimi,niimi,3PlProx,Dub,Neg,niimisiidogenag,<<niimi>>siidogenag,JDN-PC,,,,,,
VAI,Ind,n,wanishin,wanishin,3PlProx,Dub,Neg,wanishinziidogenag,<<wanishin>>ziidogenag,JDN-PC,,,,,,
VAI,Ind,e,webinige,webinige,3PlProx,Dub,Neg,webinigesiidogenag,<<webinige>>siidogenag,JDN-PC,,,,,,
VAI,Ind,am,zaaga'am,zaaga',3PlProx,Dub,Neg,zaaga'anziidogenag,<<zaaga'>>anziidogenag,JDN-PC,,,,,,
VAI,Ind,oo,maajiibatoo,maajiibatoo,3SgObv,Dub,Neg,maajiibatoosiidogenan,<<maajiibatoo>>siidogenan,JDN-PC,,,,,,
VAI,Ind,ii,madaabii,madaabii,3SgObv,Dub,Neg,madaabiisiidogenan,<<madaabii>>siidogenan,JDN-PC,,,,,,
VAI,Ind,m,minongwaam,minongwaam,3SgObv,Dub,Neg,minongwaanziidogenan,<<minongwaan>>ziidogenan,JDN-PC,,,,,,
VAI,Ind,o,nagamo,nagamo,3SgObv,Dub,Neg,nagamosiidogenan,<<nagamo>>siidogenan,JDN-PC,,,,,,
VAI,Ind,aa,nibaa,nibaa,3SgObv,Dub,Neg,nibaasiidogenan,<<nibaa>>siidogenan,JDN-PC,,,,,,
VAI,Ind,i,niimi,niimi,3SgObv,Dub,Neg,niimisiidogenan,<<niimi>>siidogenan,JDN-PC,,,,,,
VAI,Ind,n,wanishin,wanishin,3SgObv,Dub,Neg,wanishinziidogenan,<<wanishin>>ziidogenan,JDN-PC,,,,,,
VAI,Ind,e,webinige,webinige,3SgObv,Dub,Neg,webinigesiidogenan,<<webinige>>siidogenan,JDN-PC,,,,,,
VAI,Ind,am,zaaga'am,zaaga',3SgObv,Dub,Neg,zaaga'anziidogenan,<<zaaga'>>anziidogenan,JDN-PC,,,,,,
