Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1,Form2
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,1Sg,Dub,Neg,<<waabam>>igosiiwaanen,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,1Sg,Dub,Pos,<<waabam>>igowaanen,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,2Pl,Dub,Neg,<<waabam>>igosiiwegwen,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,2Pl,Dub,Pos,<<waabam>>igowegwen,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,2Sg,Dub,Neg,<<waabam>>igosiiwanen,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,2Sg,Dub,Pos,<<waabam>>igowanen,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,3PlProx,Dub,Neg,<<waabam>>igosiiwaagwen,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,3PlProx,Dub,Pos,<<waabam>>igowaagwen,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,3SgObv/3PlObv,Dub,Neg,<<waabam>>igosiinigwen,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,3SgObv/3PlObv,Dub,Pos,<<waabam>>igonigwen,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,3SgProx,Dub,Neg,<<waabam>>igosiigwen,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,3SgProx,Dub,Pos,<<waabam>>igogwen,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,Excl,Dub,Neg,<<waabam>>igosiiwaangen,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,Excl,Dub,Pos,<<waabam>>igowaangen,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,Incl,Dub,Neg,<<waabam>>igosiiwangen,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,Incl,Dub,Pos,<<waabam>>igowangen,
VTA,Cnj,Regular,waabam,waabam,1Sg,2Pl,Dub,Neg,<<waabam>>isinowagoogwen,
VTA,Cnj,Regular,waabam,waabam,1Sg,2Pl,Dub,Pos,<<waabam>>inagoogwen,
VTA,Cnj,Regular,waabam,waabam,1Sg,2Sg,Dub,Neg,<<waabam>>isiinowaanen,
VTA,Cnj,Regular,waabam,waabam,1Sg,2Sg,Dub,Pos,<<waabam>>inowaanen,
VTA,Cnj,Regular,waabam,waabam,1Sg,3PlProx,Dub,Neg,<<waabam>>aasiwaawagwaawen,<<waabam>>aasiiwagwaawen
VTA,Cnj,Regular,waabam,waabam,1Sg,3PlProx,Dub,Pos,<<waabam>>aawagwaawen,
VTA,Cnj,Regular,waabam,waabam,1Sg,3SgObv/3PlObv,Dub,Neg,<<waabam>>imaasiwaawagen,<<waabam>>imaasiiwagen
VTA,Cnj,Regular,waabam,waabam,1Sg,3SgObv/3PlObv,Dub,Pos,<<waabam>>imaawagen,
VTA,Cnj,Regular,waabam,waabam,1Sg,3SgProx,Dub,Neg,<<waabam>>aasiwaawagen,<<waabam>>aasiiwagen
VTA,Cnj,Regular,waabam,waabam,1Sg,3SgProx,Dub,Pos,<<waabam>>aawagen,
VTA,Cnj,Regular,waabam,waabam,2Pl,1Sg,Dub,Neg,<<waabam>>isiiwegwen,
VTA,Cnj,Regular,waabam,waabam,2Pl,1Sg,Dub,Pos,<<waabam>>iwegwen,
VTA,Cnj,Regular,waabam,waabam,2Pl,3PlProx,Dub,Neg,<<waabam>>aasiwaawegwaawen,<<waabam>>aasiiwegwaawen
VTA,Cnj,Regular,waabam,waabam,2Pl,3PlProx,Dub,Pos,<<waabam>>aawegwaawen,
VTA,Cnj,Regular,waabam,waabam,2Pl,3SgObv/3PlObv,Dub,Neg,<<waabam>>imaasiwaawegwen,<<waabam>>imaasiiwegwen
VTA,Cnj,Regular,waabam,waabam,2Pl,3SgObv/3PlObv,Dub,Pos,<<waabam>>imaawegwen,
VTA,Cnj,Regular,waabam,waabam,2Pl,3SgProx,Dub,Neg,<<waabam>>aasiwaawegwen,<<waabam>>aasiiwaaweg
VTA,Cnj,Regular,waabam,waabam,2Pl,3SgProx,Dub,Pos,<<waabam>>aawegwen,
VTA,Cnj,Regular,waabam,waabam,2Pl,Excl,Dub,Neg,<<waabam>>isiiwaangen,
VTA,Cnj,Regular,waabam,waabam,2Pl,Excl,Dub,Pos,<<waabam>>iwaangen,
VTA,Cnj,Regular,waabam,waabam,2Sg,1Sg,Dub,Neg,<<waabam>>isiiwanen,
VTA,Cnj,Regular,waabam,waabam,2Sg,1Sg,Dub,Pos,<<waabam>>iwanen,
VTA,Cnj,Regular,waabam,waabam,2Sg,3PlProx,Dub,Neg,<<waabam>>aasiwaawadwaawen,<<waabam>>aasiiwadwaawen
VTA,Cnj,Regular,waabam,waabam,2Sg,3PlProx,Dub,Pos,<<waabam>>aawadwaawen,
VTA,Cnj,Regular,waabam,waabam,2Sg,3SgObv/3PlObv,Dub,Neg,<<waabam>>imaasiwaawaden,<<waabam>>imaasiiwaden
VTA,Cnj,Regular,waabam,waabam,2Sg,3SgObv/3PlObv,Dub,Pos,<<waabam>>imaawaden,
VTA,Cnj,Regular,waabam,waabam,2Sg,3SgProx,Dub,Neg,<<waabam>>aasiwaawaden,<<waabam>>aasiiwaden
VTA,Cnj,Regular,waabam,waabam,2Sg,3SgProx,Dub,Pos,<<waabam>>aawaden,
VTA,Cnj,Regular,waabam,waabam,2Sg,Excl,Dub,Neg,<<waabam>>isiiwaangen,
VTA,Cnj,Regular,waabam,waabam,2Sg,Excl,Dub,Pos,<<waabam>>iwaangen,
VTA,Cnj,Regular,waabam,waabam,3PlProx,1Sg,Dub,Neg,<<waabam>>isiiwaagwen,
VTA,Cnj,Regular,waabam,waabam,3PlProx,1Sg,Dub,Pos,<<waabam>>iwaagwen,
VTA,Cnj,Regular,waabam,waabam,3PlProx,2Pl,Dub,Neg,<<waabam>>igoosiiwegwen,
VTA,Cnj,Regular,waabam,waabam,3PlProx,2Pl,Dub,Pos,<<waabam>>igoowegwen,
VTA,Cnj,Regular,waabam,waabam,3PlProx,2Sg,Dub,Neg,<<waabam>>isiinowegwaawen,
VTA,Cnj,Regular,waabam,waabam,3PlProx,2Sg,Dub,Pos,<<waabam>>inowegwaawen,
VTA,Cnj,Regular,waabam,waabam,3PlProx,3SgObv/3PlObv,Dub,Neg,<<waabam>>aasiwaawaagwen,<<waabam>>aasiiwaagwen
VTA,Cnj,Regular,waabam,waabam,3PlProx,3SgObv/3PlObv,Dub,Pos,<<waabam>>aawaagwen,
VTA,Cnj,Regular,waabam,waabam,3PlProx,Excl,Dub,Neg,<<waabam>>isiiwangidwaawen,
VTA,Cnj,Regular,waabam,waabam,3PlProx,Excl,Dub,Pos,<<waabam>>iwangidwaawen,
VTA,Cnj,Regular,waabam,waabam,3PlProx,Incl,Dub,Neg,<<waabam>>isiinowangwaawen,
VTA,Cnj,Regular,waabam,waabam,3PlProx,Incl,Dub,Pos,<<waabam>>inowangwaawen,
VTA,Cnj,Regular,waabam,waabam,3SgObv/3PlObv,3PlProx,Dub,Neg,<<waabam>>igosiiwaagwen,
VTA,Cnj,Regular,waabam,waabam,3SgObv/3PlObv,3PlProx,Dub,Pos,<<waabam>>igowaagwen,
VTA,Cnj,Regular,waabam,waabam,3SgObv/3PlObv,3SgProx,Dub,Neg,<<waabam>>igosiigwen,
VTA,Cnj,Regular,waabam,waabam,3SgObv/3PlObv,3SgProx,Dub,Pos,<<waabam>>igogwen,
VTA,Cnj,Regular,waabam,waabam,3SgProx,1Sg,Dub,Neg,<<waabam>>isiigwen,
VTA,Cnj,Regular,waabam,waabam,3SgProx,1Sg,Dub,Pos,<<waabam>>igwen,
VTA,Cnj,Regular,waabam,waabam,3SgProx,2Pl,Dub,Neg,<<waabam>>igoosiiwanen,
VTA,Cnj,Regular,waabam,waabam,3SgProx,2Pl,Dub,Pos,<<waabam>>igoowanen,
VTA,Cnj,Regular,waabam,waabam,3SgProx,2Sg,Dub,Neg,<<waabam>>isiinowegwen,
VTA,Cnj,Regular,waabam,waabam,3SgProx,2Sg,Dub,Pos,<<waabam>>inowegwen,
VTA,Cnj,Regular,waabam,waabam,3SgProx,3SgObv/3PlObv,Dub,Neg,<<waabam>>aasiigwen,
VTA,Cnj,Regular,waabam,waabam,3SgProx,3SgObv/3PlObv,Dub,Pos,<<waabam>>aagwen,
VTA,Cnj,Regular,waabam,waabam,3SgProx,Excl,Dub,Neg,<<waabam>>isiiwangiden,
VTA,Cnj,Regular,waabam,waabam,3SgProx,Excl,Dub,Pos,<<waabam>>iwangiden,
VTA,Cnj,Regular,waabam,waabam,3SgProx,Incl,Dub,Neg,<<waabam>>isiinowangen,
VTA,Cnj,Regular,waabam,waabam,3SgProx,Incl,Dub,Pos,<<waabam>>inowangen,
VTA,Cnj,Regular,waabam,waabam,Excl,2Pl,Dub,Neg,<<waabam>>isiinogwaawen,
VTA,Cnj,Regular,waabam,waabam,Excl,2Pl,Dub,Pos,<<waabam>>inogwaawen,
VTA,Cnj,Regular,waabam,waabam,Excl,2Sg,Dub,Neg,<<waabam>>isiinogwen,
VTA,Cnj,Regular,waabam,waabam,Excl,2Sg,Dub,Pos,<<waabam>>inogwen,
VTA,Cnj,Regular,waabam,waabam,Excl,3PlProx,Dub,Neg,<<waabam>>aasiwaawangidwaawen,<<waabam>>aasiiwangidwaawen
VTA,Cnj,Regular,waabam,waabam,Excl,3PlProx,Dub,Pos,<<waabam>>aawangidwaawen,
VTA,Cnj,Regular,waabam,waabam,Excl,3SgObv/3PlObv,Dub,Neg,<<waabam>>imaasiwaawangiden,<<waabam>>imaasiiwangiden
VTA,Cnj,Regular,waabam,waabam,Excl,3SgObv/3PlObv,Dub,Pos,<<waabam>>imaawangiden,
VTA,Cnj,Regular,waabam,waabam,Excl,3SgProx,Dub,Neg,<<waabam>>aasiwaawangiden,<<waabam>>aasiiwangiden
VTA,Cnj,Regular,waabam,waabam,Excl,3SgProx,Dub,Pos,<<waabam>>aawangiden,
VTA,Cnj,Regular,waabam,waabam,Incl,3PlProx,Dub,Neg,<<waabam>>aasiwaawangwaawen,<<waabam>>aasiiwangwaawen
VTA,Cnj,Regular,waabam,waabam,Incl,3PlProx,Dub,Pos,<<waabam>>aawangwaawen,
VTA,Cnj,Regular,waabam,waabam,Incl,3SgObv/3PlObv,Dub,Neg,<<waabam>>imaasiwaawangen,<<waabam>>imaasiiwangen
VTA,Cnj,Regular,waabam,waabam,Incl,3SgObv/3PlObv,Dub,Pos,<<waabam>>imaawangen,
VTA,Cnj,Regular,waabam,waabam,Incl,3SgProx,Dub,Neg,<<waabam>>aasiwaawangen,<<waabam>>aasiiwangen
VTA,Cnj,Regular,waabam,waabam,Incl,3SgProx,Dub,Pos,<<waabam>>aawangen,
VTA,Cnj,Regular,waabam,waabam,X,1Sg,Dub,Neg,<<waabam>>igoosiiwaanen,
VTA,Cnj,Regular,waabam,waabam,X,1Sg,Dub,Pos,<<waabam>>igoowaanen,
VTA,Cnj,Regular,waabam,waabam,X,2Pl,Dub,Neg,<<waabam>>igoosiiwegwen,
VTA,Cnj,Regular,waabam,waabam,X,2Pl,Dub,Pos,<<waabam>>igoowegwen,
VTA,Cnj,Regular,waabam,waabam,X,2Sg,Dub,Neg,<<waabam>>igoosiiwanen,
VTA,Cnj,Regular,waabam,waabam,X,2Sg,Dub,Pos,<<waabam>>igoowanen,
VTA,Cnj,Regular,waabam,waabam,X,3PlProx,Dub,Neg,<<waabam>>aasiwaawindwaawen,<<waabam>>aasiiwintwaawen
VTA,Cnj,Regular,waabam,waabam,X,3PlProx,Dub,Pos,<<waabam>>aawindwaawen,
VTA,Cnj,Regular,waabam,waabam,X,3SgObv/3PlObv,Dub,Neg,<<waabam>>imaasiwaawinden,<<waabam>>imaasiiwinden
VTA,Cnj,Regular,waabam,waabam,X,3SgObv/3PlObv,Dub,Pos,<<waabam>>imaawinden,
VTA,Cnj,Regular,waabam,waabam,X,3SgProx,Dub,Neg,<<waabam>>aasiwaawinden,<<waabam>>aasiiwinden
VTA,Cnj,Regular,waabam,waabam,X,3SgProx,Dub,Pos,<<waabam>>aawinden,
VTA,Cnj,Regular,waabam,waabam,X,Excl,Dub,Neg,<<waabam>>igoosiiwaangen,
VTA,Cnj,Regular,waabam,waabam,X,Excl,Dub,Pos,<<waabam>>igoowaangen,
VTA,Cnj,Regular,waabam,waabam,X,Incl,Dub,Neg,<<waabam>>igoosiiwangen,
VTA,Cnj,Regular,waabam,waabam,X,Incl,Dub,Pos,<<waabam>>igoowangen,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,1Sg,Neu,Neg,<<waabam>>igosiwaan,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,1Sg,Neu,Pos,<<waabam>>igoyaan,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,2Pl,Neu,Neg,<<waabam>>igosiweg,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,2Pl,Neu,Pos,<<waabam>>igoyeg,
VTA,Cnj,Regular,waabam,waabam,0Sg/0Pl,2Sg,Neu,Neg,<<waabam>>igosiwan,
