Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
VTA,Imp,Regular,ganawaabam,ganawaabam,2Pl,1Sg,Del,NA,ganawaabamishiikeg,<<ganawaabam>>i1shiikeg,JDN-PC,,,,,,
VTA,Imp,S,mawadish,mawadis,2Pl,1Sg,Del,NA,MISSING,,,,,,,,
VTA,Imp,N,miizh,miin,2Pl,1Sg,Del,NA,MISSING,,,,,,,,
VTA,Imp,aw,mikaw,mikaw,2Pl,1Sg,Del,NA,MISSING,,,,,,,,
VTA,Imp,Cw,mizho,mizhw,2Pl,1Sg,Del,NA,MISSING,,,,,,,,
VTA,Imp,Regular,ganawaabam,ganawaabam,2Pl,3SgObv/3PlObv,Del,NA,ganawaabamishiikeg,<<ganawaabam>>i1shiikeg,JDN-PC,,,,,,
VTA,Imp,S,mawadish,mawadis,2Pl,3SgObv/3PlObv,Del,NA,MISSING,,,,,,,,
VTA,Imp,N,miizh,miin,2Pl,3SgObv/3PlObv,Del,NA,MISSING,,,,,,,,
VTA,Imp,aw,mikaw,mikaw,2Pl,3SgObv/3PlObv,Del,NA,MISSING,,,,,,,,
VTA,Imp,Cw,mizho,mizhw,2Pl,3SgObv/3PlObv,Del,NA,MISSING,,,,,,,,
VTA,Imp,Regular,ganawaabam,ganawaabam,2Pl,3SgProx/3PlProx,Del,NA,ganawaabamaakang,<<ganawaabam>>aakang,JDN-PC,,,,,,
VTA,Imp,S,mawadish,mawadis,2Pl,3SgProx/3PlProx,Del,NA,MISSING,,,,,,,,
VTA,Imp,N,miizh,miin,2Pl,3SgProx/3PlProx,Del,NA,MISSING,,,,,,,,
VTA,Imp,aw,mikaw,mikaw,2Pl,3SgProx/3PlProx,Del,NA,MISSING,,,,,,,,
VTA,Imp,Cw,mizho,mizhw,2Pl,3SgProx/3PlProx,Del,NA,MISSING,,,,,,,,
