Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1,Form2
VTA,Ind,Regular,waabam,waabam,0Pl,1Sg,Dub,Neg,ni<<waabam>>igosiinaadogenan,
VTA,Ind,Regular,waabam,waabam,0Pl,1Sg,Dub,Pos,ni<<waabam>>igonaadogenan,
VTA,Ind,Regular,waabam,waabam,0Pl,2Pl,Dub,Neg,gi<<waabam>>igosiinaawaadogenan,
VTA,Ind,Regular,waabam,waabam,0Pl,2Pl,Dub,Pos,gi<<waabam>>igonaawaadogenan,
VTA,Ind,Regular,waabam,waabam,0Pl,2Sg,Dub,Neg,gi<<waabam>>igosiinaadogenan,
VTA,Ind,Regular,waabam,waabam,0Pl,2Sg,Dub,Pos,gi<<waabam>>igonaadogenan,
VTA,Ind,Regular,waabam,waabam,0Pl,3PlProx,Dub,Neg,o<<waabam>>igosiinaawaadogenan,
VTA,Ind,Regular,waabam,waabam,0Pl,3PlProx,Dub,Pos,o<<waabam>>igonaawaadogenan,
VTA,Ind,Regular,waabam,waabam,0Pl,3SgObv/3PlObv,Dub,Neg,o<<waabam>>igosiininaadogenan,
VTA,Ind,Regular,waabam,waabam,0Pl,3SgObv/3PlObv,Dub,Pos,o<<waabam>>igoninaadogenan,
VTA,Ind,Regular,waabam,waabam,0Pl,3SgProx,Dub,Neg,o<<waabam>>igosiinaadogenan,
VTA,Ind,Regular,waabam,waabam,0Pl,3SgProx,Dub,Pos,o<<waabam>>igonaadogenan,
VTA,Ind,Regular,waabam,waabam,0Pl,Excl,Dub,Neg,ni<<waabam>>igosiiminaadogenan,
VTA,Ind,Regular,waabam,waabam,0Pl,Excl,Dub,Pos,ni<<waabam>>igominaadogenan,
VTA,Ind,Regular,waabam,waabam,0Pl,Incl,Dub,Neg,gi<<waabam>>igosiiminaadogenan,
VTA,Ind,Regular,waabam,waabam,0Pl,Incl,Dub,Pos,gi<<waabam>>igominaadogenan,
VTA,Ind,Regular,waabam,waabam,0Sg,1Sg,Dub,Neg,ni<<waabam>>igosiinaadog,
VTA,Ind,Regular,waabam,waabam,0Sg,1Sg,Dub,Pos,ni<<waabam>>igonaadog,
VTA,Ind,Regular,waabam,waabam,0Sg,2Pl,Dub,Neg,gi<<waabam>>igosiinaawaadog,
VTA,Ind,Regular,waabam,waabam,0Sg,2Pl,Dub,Pos,gi<<waabam>>igonaawaadog,
VTA,Ind,Regular,waabam,waabam,0Sg,2Sg,Dub,Neg,gi<<waabam>>igosiinaadog,
VTA,Ind,Regular,waabam,waabam,0Sg,2Sg,Dub,Pos,gi<<waabam>>igonaadog,
VTA,Ind,Regular,waabam,waabam,0Sg,3PlProx,Dub,Neg,o<<waabam>>igosiinaawaadog,
VTA,Ind,Regular,waabam,waabam,0Sg,3PlProx,Dub,Pos,o<<waabam>>igonaawaadog,
VTA,Ind,Regular,waabam,waabam,0Sg,3SgObv/3PlObv,Dub,Neg,o<<waabam>>igosiininaadog,
VTA,Ind,Regular,waabam,waabam,0Sg,3SgObv/3PlObv,Dub,Pos,o<<waabam>>igoninaadog,
