Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VTI,Cnj,aa,ayaan,ayaa,1Sg,0Sg/0Pl,Neu,Neg,ayaanziwaan,<<ayaa>>nziwaan,JDN-PC,,,
VTI,Cnj,aa,ayaan,ayaa,1Sg,0Sg/0Pl,Neu,Pos,ayaaman,<<ayaa>>man,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,1Sg,0Sg/0Pl,Dub,Neg,miijisiiwaanen,<<miiji>>siiwaanen,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,1Sg,0Sg/0Pl,Dub,Pos,miijiwaanen,<<miiji>>waanen,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,1Sg,0Sg/0Pl,Dub+Prt,Neg,miijisiiwaambaanen,<<miiji>>siiwaambaanen,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,1Sg,0Sg/0Pl,Dub+Prt,Pos,miijiwaambaanen,<<miiji>>waambaanen,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,1Sg,0Sg/0Pl,Neu,Neg,miijisiwaan,<<miiji>>siwaan,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,1Sg,0Sg/0Pl,Neu,Pos,miijiyaan,<<miiji>>yaan,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,1Sg,0Sg/0Pl,Prt,Neg,miijisiwaambaan,<<miiji>>siwaambaan,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,1Sg,0Sg/0Pl,Prt,Pos,miijiyaambaan,<<miiji>>yaambaan,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,1Sg,0Sg/0Pl,Dub,Neg,waabandanziiwaanen,<<waaband>>anziiwaanen,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,1Sg,0Sg/0Pl,Dub,Pos,waabandamowaanen,<<waaband>>amowaanen,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,1Sg,0Sg/0Pl,Dub+Prt,Neg,waabandanziiwaambaanen,<<waaband>>anziiwaambaanen,JDN-PC,,,
