Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VTI,Ind,aa,ayaan,ayaa,1Sg,0Pl,Dub,Neg,nidayaasiinaadogenan,ni<<ayaa>>siinaadogenan,JDN-PC,,,
VTI,Ind,aa,ayaan,ayaa,1Sg,0Sg,Dub,Neg,nidayaasiinaadog,ni<<ayaa>>siinaadog,JDN-PC,,,
VTI,Ind,aa,ayaan,ayaa,1Sg,0Pl,Dub,Pos,nidayaanaadogenan,ni<<ayaa>>naadogenan,JDN-PC,,,
VTI,Ind,aa,ayaan,ayaa,1Sg,0Sg,Dub,Pos,nidayaanaadog,ni<<ayaa>>naadog,JDN-PC,,,
VTI,Ind,aa,ayaan,ayaa,1Sg,0Pl,Neu,Neg,nidayaasiinan,ni<<ayaa>>siinan,JDN-PC,,,
VTI,Ind,aa,ayaan,ayaa,1Sg,0Sg,Neu,Neg,nidayaasiin,ni<<ayaa>>siin,JDN-PC,,,
VTI,Ind,aa,ayaan,ayaa,1Sg,0Pl,Neu,Pos,nidayaanan,ni<<ayaa>>nan,JDN-PC,,,
VTI,Ind,aa,ayaan,ayaa,1Sg,0Sg,Neu,Pos,nidayaan,ni<<ayaa>>n,JDN-PC,,,
VTI,Ind,aa,ayaan,ayaa,1Sg,0Pl,Prt,Neg,nidayaasiinaabaniin,ni<<ayaa>>siinaabaniin,JDN-PC,nidayaasiinaabanen,ni<<ayaa>>siinaabanen,JDN-PC
VTI,Ind,aa,ayaan,ayaa,1Sg,0Sg,Prt,Neg,nidayaasiinaaban,ni<<ayaa>>siinaaban,JDN-PC,,,
VTI,Ind,aa,ayaan,ayaa,1Sg,0Pl,Prt,Pos,nidayaanaabaniin,ni<<ayaa>>naabaniin,JDN-PC,nidayaanaabanen,ni<<ayaa>>naabanen,JDN-PC
VTI,Ind,aa,ayaan,ayaa,1Sg,0Sg,Prt,Pos,nidayaanaaban,ni<<ayaa>>naaban,JDN-PC,,,
VTI,Ind,aa,ayaan,ayaa,2Pl,0Pl,Dub,Neg,gidayaasiinaawaadogenan,gi<<ayaa>>siinaawaadogenan,JDN-PC,,,
VTI,Ind,aa,ayaan,ayaa,2Pl,0Sg,Dub,Neg,gidayaasiinaawaadog,gi<<ayaa>>siinaawaadog,JDN-PC,,,
VTI,Ind,aa,ayaan,ayaa,2Pl,0Pl,Dub,Pos,gidayaanaawaadogenan,gi<<ayaa>>naawaadogenan,JDN-PC,,,
VTI,Ind,aa,ayaan,ayaa,2Pl,0Sg,Dub,Pos,gidayaanaawaadog,gi<<ayaa>>naawaadog,JDN-PC,,,
VTI,Ind,aa,ayaan,ayaa,2Pl,0Pl,Neu,Neg,gidayaasiinaawaan,gi<<ayaa>>siinaawaan,JDN-PC,,,
