jooweshk+NA	jooweshk

1+jooweshk+NA	nijooweshk

2+jooweshk+NA	gijooweshk

X+jooweshk+NA	ijooweshk

jooweshk+NA+Con	jooweshkenh

jooweshk+NA+Dim	jooweshkens

jooweshk+NA+Pej	jooweshksh

jooweshk+NA+Prt	jooweshkbani1

jooweshk+NA+Voc+Pl	jooweshkdig

jooweshk+NA+4	jooweshkan

jooweshk+NA+Loc	jooweshkng

jooweshk+NA+Pl	jooweshkag

1+jooweshk+NA+Con	nijooweshkenh

1+jooweshk+NA+Dim	nijooweshkens

2+jooweshk+NA+Con	gijooweshkenh

2+jooweshk+NA+Dim	gijooweshkens

X+jooweshk+NA+Con	ijooweshkenh

X+jooweshk+NA+Dim	ijooweshkens

1+jooweshk+NA+ThmPos	nijooweshkm

2+jooweshk+NA+ThmPos	gijooweshkm

X+jooweshk+NA+ThmPos	ijooweshkm

1+jooweshk+NA+Pej	nijooweshksh

2+jooweshk+NA+Pej	gijooweshksh

X+jooweshk+NA+Pej	ijooweshksh

1+jooweshk+NA+1+Pl	nijooweshknaan
1+jooweshk+NA+1+Pl	nijooweshknaa

2+jooweshk+NA+1+Pl	gijooweshknaan
2+jooweshk+NA+1+Pl	gijooweshknaa

2+jooweshk+NA+2+Pl	gijooweshkwaa

3+jooweshk+NA+3+4	ojooweshkniw

1+jooweshk+NA+Prt	nijooweshkbani1

1+jooweshk+NA+Voc+Pl	nijooweshkdig

2+jooweshk+NA+Prt	gijooweshkbani1

2+jooweshk+NA+Voc+Pl	gijooweshkdig

X+jooweshk+NA+Prt	ijooweshkbani1

X+jooweshk+NA+Voc+Pl	ijooweshkdig

1+jooweshk+NA+4	nijooweshkan

1+jooweshk+NA+Loc	nijooweshkng

1+jooweshk+NA+Pl	nijooweshkag

2+jooweshk+NA+4	gijooweshkan

2+jooweshk+NA+Loc	gijooweshkng

2+jooweshk+NA+Pl	gijooweshkag

3+jooweshk+NA+4	ojooweshkan

3+jooweshk+NA+Loc	ojooweshkng

X+jooweshk+NA+4	ijooweshkan

X+jooweshk+NA+Loc	ijooweshkng

X+jooweshk+NA+Pl	ijooweshkag

jooweshk+NA+Con+Pej	jooweshkenyish

jooweshk+NA+Dim+Pej	jooweshkensish

jooweshk+NA+Con+Prt	jooweshkenyiban
jooweshk+NA+Con+Prt	jooweshkenyiba

jooweshk+NA+Con+Voc+Pl	jooweshkenydig

jooweshk+NA+Dim+Prt	jooweshkensiban
jooweshk+NA+Dim+Prt	jooweshkensiba

jooweshk+NA+Dim+Voc+Pl	jooweshkensdig

jooweshk+NA+Con+4	jooweshkenyin

jooweshk+NA+Con+Loc	jooweshkenying

jooweshk+NA+Con+Pl	jooweshkenyag

jooweshk+NA+Dim+4	jooweshkensan

jooweshk+NA+Dim+Loc	jooweshkensing

jooweshk+NA+Dim+Pl	jooweshkensag

jooweshk+NA+Pej+Prt	jooweshkshiban
jooweshk+NA+Pej+Prt	jooweshkshiba

jooweshk+NA+Pej+Voc+Pl	jooweshkshdig

jooweshk+NA+Pej+4	jooweshkshan

jooweshk+NA+Pej+Loc	jooweshkshing

jooweshk+NA+Pej+Pl	jooweshkshag

jooweshk+NA+Prt+4	jooweshkbaniin

jooweshk+NA+Prt+Loc	jooweshkbaniing

jooweshk+NA+Prt+Pl	jooweshkbani1ag

1+jooweshk+NA+Con+ThmPos	nijooweshkenym

1+jooweshk+NA+Dim+ThmPos	nijooweshkensm

2+jooweshk+NA+Con+ThmPos	gijooweshkenym

2+jooweshk+NA+Dim+ThmPos	gijooweshkensm

X+jooweshk+NA+Con+ThmPos	ijooweshkenym

X+jooweshk+NA+Dim+ThmPos	ijooweshkensm

1+jooweshk+NA+Con+Pej	nijooweshkenyish

1+jooweshk+NA+Dim+Pej	nijooweshkensish

2+jooweshk+NA+Con+Pej	gijooweshkenyish

2+jooweshk+NA+Dim+Pej	gijooweshkensish

X+jooweshk+NA+Con+Pej	ijooweshkenyish

X+jooweshk+NA+Dim+Pej	ijooweshkensish

1+jooweshk+NA+Con+1+Pl	nijooweshkenynaan
1+jooweshk+NA+Con+1+Pl	nijooweshkenynaa

1+jooweshk+NA+Dim+1+Pl	nijooweshkensnaan
1+jooweshk+NA+Dim+1+Pl	nijooweshkensnaa

2+jooweshk+NA+Con+1+Pl	gijooweshkenynaan
2+jooweshk+NA+Con+1+Pl	gijooweshkenynaa

2+jooweshk+NA+Con+2+Pl	gijooweshkenywaa

2+jooweshk+NA+Dim+1+Pl	gijooweshkensnaan
2+jooweshk+NA+Dim+1+Pl	gijooweshkensnaa

2+jooweshk+NA+Dim+2+Pl	gijooweshkenswaa

3+jooweshk+NA+Con+3+4	ojooweshkenyniw

3+jooweshk+NA+Dim+3+4	ojooweshkensniw

1+jooweshk+NA+Con+Prt	nijooweshkenyiban
1+jooweshk+NA+Con+Prt	nijooweshkenyiba

1+jooweshk+NA+Con+Voc+Pl	nijooweshkenydig

1+jooweshk+NA+Dim+Prt	nijooweshkensiban
1+jooweshk+NA+Dim+Prt	nijooweshkensiba

1+jooweshk+NA+Dim+Voc+Pl	nijooweshkensdig

2+jooweshk+NA+Con+Prt	gijooweshkenyiban
2+jooweshk+NA+Con+Prt	gijooweshkenyiba

2+jooweshk+NA+Con+Voc+Pl	gijooweshkenydig

2+jooweshk+NA+Dim+Prt	gijooweshkensiban
2+jooweshk+NA+Dim+Prt	gijooweshkensiba

2+jooweshk+NA+Dim+Voc+Pl	gijooweshkensdig

X+jooweshk+NA+Con+Prt	ijooweshkenyiban
X+jooweshk+NA+Con+Prt	ijooweshkenyiba

X+jooweshk+NA+Con+Voc+Pl	ijooweshkenydig

X+jooweshk+NA+Dim+Prt	ijooweshkensiban
X+jooweshk+NA+Dim+Prt	ijooweshkensiba

X+jooweshk+NA+Dim+Voc+Pl	ijooweshkensdig

1+jooweshk+NA+Con+4	nijooweshkenyin

1+jooweshk+NA+Con+Loc	nijooweshkenying

1+jooweshk+NA+Con+Pl	nijooweshkenyag

1+jooweshk+NA+Dim+4	nijooweshkensan

1+jooweshk+NA+Dim+Loc	nijooweshkensing

1+jooweshk+NA+Dim+Pl	nijooweshkensag

2+jooweshk+NA+Con+4	gijooweshkenyin

2+jooweshk+NA+Con+Loc	gijooweshkenying

2+jooweshk+NA+Con+Pl	gijooweshkenyag

2+jooweshk+NA+Dim+4	gijooweshkensan

2+jooweshk+NA+Dim+Loc	gijooweshkensing

2+jooweshk+NA+Dim+Pl	gijooweshkensag

3+jooweshk+NA+Con+4	ojooweshkenyin

3+jooweshk+NA+Con+Loc	ojooweshkenying

3+jooweshk+NA+Dim+4	ojooweshkensan

3+jooweshk+NA+Dim+Loc	ojooweshkensing

X+jooweshk+NA+Con+4	ijooweshkenyin

X+jooweshk+NA+Con+Loc	ijooweshkenying

X+jooweshk+NA+Con+Pl	ijooweshkenyag

X+jooweshk+NA+Dim+4	ijooweshkensan

X+jooweshk+NA+Dim+Loc	ijooweshkensing

X+jooweshk+NA+Dim+Pl	ijooweshkensag

1+jooweshk+NA+ThmPos+Pej	nijooweshkmish

2+jooweshk+NA+ThmPos+Pej	gijooweshkmish

X+jooweshk+NA+ThmPos+Pej	ijooweshkmish

1+jooweshk+NA+ThmPos+1+Pl	nijooweshkmnaan
