waaboos+NA	waaboozo

1+waaboos+NA	niwaaboozo

2+waaboos+NA	giwaaboozo

X+waaboos+NA	iwaaboozo

waaboos+NA+Con	waaboozoenh

waaboos+NA+Dim	waaboozoens

waaboos+NA+Pej	waaboozosh

waaboos+NA+Prt	waaboozobani1

waaboos+NA+Voc+Pl	waaboozodig

waaboos+NA+4	waaboozoan

waaboos+NA+Loc	waaboozong

waaboos+NA+Pl	waaboozoag

1+waaboos+NA+Con	niwaaboozoenh

1+waaboos+NA+Dim	niwaaboozoens

2+waaboos+NA+Con	giwaaboozoenh

2+waaboos+NA+Dim	giwaaboozoens

X+waaboos+NA+Con	iwaaboozoenh

X+waaboos+NA+Dim	iwaaboozoens

1+waaboos+NA+ThmPos	niwaaboozom

2+waaboos+NA+ThmPos	giwaaboozom

X+waaboos+NA+ThmPos	iwaaboozom

1+waaboos+NA+Pej	niwaaboozosh

2+waaboos+NA+Pej	giwaaboozosh

X+waaboos+NA+Pej	iwaaboozosh

1+waaboos+NA+1+Pl	niwaaboozonaan
1+waaboos+NA+1+Pl	niwaaboozonaa

2+waaboos+NA+1+Pl	giwaaboozonaan
2+waaboos+NA+1+Pl	giwaaboozonaa

2+waaboos+NA+2+Pl	giwaaboozowaa

3+waaboos+NA+3+4	owaaboozoniw

1+waaboos+NA+Prt	niwaaboozobani1

1+waaboos+NA+Voc+Pl	niwaaboozodig

2+waaboos+NA+Prt	giwaaboozobani1

2+waaboos+NA+Voc+Pl	giwaaboozodig

X+waaboos+NA+Prt	iwaaboozobani1

X+waaboos+NA+Voc+Pl	iwaaboozodig

1+waaboos+NA+4	niwaaboozoan

1+waaboos+NA+Loc	niwaaboozong

1+waaboos+NA+Pl	niwaaboozoag

2+waaboos+NA+4	giwaaboozoan

2+waaboos+NA+Loc	giwaaboozong

2+waaboos+NA+Pl	giwaaboozoag

3+waaboos+NA+4	owaaboozoan

3+waaboos+NA+Loc	owaaboozong

X+waaboos+NA+4	iwaaboozoan

X+waaboos+NA+Loc	iwaaboozong

X+waaboos+NA+Pl	iwaaboozoag

waaboos+NA+Con+Pej	waaboozoenyish

waaboos+NA+Dim+Pej	waaboozoensish

waaboos+NA+Con+Prt	waaboozoenyiban
waaboos+NA+Con+Prt	waaboozoenyiba

waaboos+NA+Con+Voc+Pl	waaboozoenydig

waaboos+NA+Dim+Prt	waaboozoensiban
waaboos+NA+Dim+Prt	waaboozoensiba

waaboos+NA+Dim+Voc+Pl	waaboozoensdig

waaboos+NA+Con+4	waaboozoenyin

waaboos+NA+Con+Loc	waaboozoenying

waaboos+NA+Con+Pl	waaboozoenyag

waaboos+NA+Dim+4	waaboozoensan

waaboos+NA+Dim+Loc	waaboozoensing

waaboos+NA+Dim+Pl	waaboozoensag

waaboos+NA+Pej+Prt	waaboozoshiban
waaboos+NA+Pej+Prt	waaboozoshiba

waaboos+NA+Pej+Voc+Pl	waaboozoshdig

waaboos+NA+Pej+4	waaboozoshan

waaboos+NA+Pej+Loc	waaboozoshing

waaboos+NA+Pej+Pl	waaboozoshag

waaboos+NA+Prt+4	waaboozobaniin

waaboos+NA+Prt+Loc	waaboozobaniing

waaboos+NA+Prt+Pl	waaboozobani1ag

1+waaboos+NA+Con+ThmPos	niwaaboozoenym

1+waaboos+NA+Dim+ThmPos	niwaaboozoensm

2+waaboos+NA+Con+ThmPos	giwaaboozoenym

2+waaboos+NA+Dim+ThmPos	giwaaboozoensm

X+waaboos+NA+Con+ThmPos	iwaaboozoenym

X+waaboos+NA+Dim+ThmPos	iwaaboozoensm

1+waaboos+NA+Con+Pej	niwaaboozoenyish

1+waaboos+NA+Dim+Pej	niwaaboozoensish

2+waaboos+NA+Con+Pej	giwaaboozoenyish

2+waaboos+NA+Dim+Pej	giwaaboozoensish

X+waaboos+NA+Con+Pej	iwaaboozoenyish

X+waaboos+NA+Dim+Pej	iwaaboozoensish

1+waaboos+NA+Con+1+Pl	niwaaboozoenynaan
1+waaboos+NA+Con+1+Pl	niwaaboozoenynaa

1+waaboos+NA+Dim+1+Pl	niwaaboozoensnaan
1+waaboos+NA+Dim+1+Pl	niwaaboozoensnaa

2+waaboos+NA+Con+1+Pl	giwaaboozoenynaan
2+waaboos+NA+Con+1+Pl	giwaaboozoenynaa

2+waaboos+NA+Con+2+Pl	giwaaboozoenywaa

2+waaboos+NA+Dim+1+Pl	giwaaboozoensnaan
2+waaboos+NA+Dim+1+Pl	giwaaboozoensnaa

2+waaboos+NA+Dim+2+Pl	giwaaboozoenswaa

3+waaboos+NA+Con+3+4	owaaboozoenyniw

3+waaboos+NA+Dim+3+4	owaaboozoensniw

1+waaboos+NA+Con+Prt	niwaaboozoenyiban
1+waaboos+NA+Con+Prt	niwaaboozoenyiba

1+waaboos+NA+Con+Voc+Pl	niwaaboozoenydig

1+waaboos+NA+Dim+Prt	niwaaboozoensiban
1+waaboos+NA+Dim+Prt	niwaaboozoensiba

1+waaboos+NA+Dim+Voc+Pl	niwaaboozoensdig

2+waaboos+NA+Con+Prt	giwaaboozoenyiban
2+waaboos+NA+Con+Prt	giwaaboozoenyiba

2+waaboos+NA+Con+Voc+Pl	giwaaboozoenydig

2+waaboos+NA+Dim+Prt	giwaaboozoensiban
2+waaboos+NA+Dim+Prt	giwaaboozoensiba

2+waaboos+NA+Dim+Voc+Pl	giwaaboozoensdig

X+waaboos+NA+Con+Prt	iwaaboozoenyiban
X+waaboos+NA+Con+Prt	iwaaboozoenyiba

X+waaboos+NA+Con+Voc+Pl	iwaaboozoenydig

X+waaboos+NA+Dim+Prt	iwaaboozoensiban
X+waaboos+NA+Dim+Prt	iwaaboozoensiba

X+waaboos+NA+Dim+Voc+Pl	iwaaboozoensdig

1+waaboos+NA+Con+4	niwaaboozoenyin

1+waaboos+NA+Con+Loc	niwaaboozoenying

1+waaboos+NA+Con+Pl	niwaaboozoenyag

1+waaboos+NA+Dim+4	niwaaboozoensan

1+waaboos+NA+Dim+Loc	niwaaboozoensing

1+waaboos+NA+Dim+Pl	niwaaboozoensag

2+waaboos+NA+Con+4	giwaaboozoenyin

2+waaboos+NA+Con+Loc	giwaaboozoenying

2+waaboos+NA+Con+Pl	giwaaboozoenyag

2+waaboos+NA+Dim+4	giwaaboozoensan

2+waaboos+NA+Dim+Loc	giwaaboozoensing

2+waaboos+NA+Dim+Pl	giwaaboozoensag

3+waaboos+NA+Con+4	owaaboozoenyin

3+waaboos+NA+Con+Loc	owaaboozoenying

3+waaboos+NA+Dim+4	owaaboozoensan

3+waaboos+NA+Dim+Loc	owaaboozoensing

X+waaboos+NA+Con+4	iwaaboozoenyin

X+waaboos+NA+Con+Loc	iwaaboozoenying

X+waaboos+NA+Con+Pl	iwaaboozoenyag

X+waaboos+NA+Dim+4	iwaaboozoensan

X+waaboos+NA+Dim+Loc	iwaaboozoensing

X+waaboos+NA+Dim+Pl	iwaaboozoensag

1+waaboos+NA+ThmPos+Pej	niwaaboozomish

2+waaboos+NA+ThmPos+Pej	giwaaboozomish

X+waaboos+NA+ThmPos+Pej	iwaaboozomish

1+waaboos+NA+ThmPos+1+Pl	niwaaboozomnaan
1+waaboos+NA+ThmPos+1+Pl	niwaaboozomnaa

2+waaboos+NA+ThmPos+1+Pl	giwaaboozomnaan
2+waaboos+NA+ThmPos+1+Pl	giwaaboozomnaa

2+waaboos+NA+ThmPos+2+Pl	giwaaboozomwaa

3+waaboos+NA+ThmPos+3+4	owaaboozomniw

1+waaboos+NA+ThmPos+Prt	niwaaboozomiban
1+waaboos+NA+ThmPos+Prt	niwaaboozomiba

1+waaboos+NA+ThmPos+Voc+Pl	niwaaboozomdig

2+waaboos+NA+ThmPos+Prt	giwaaboozomiban
2+waaboos+NA+ThmPos+Prt	giwaaboozomiba

2+waaboos+NA+ThmPos+Voc+Pl	giwaaboozomdig

X+waaboos+NA+ThmPos+Prt	iwaaboozomiban
X+waaboos+NA+ThmPos+Prt	iwaaboozomiba

X+waaboos+NA+ThmPos+Voc+Pl	iwaaboozomdig

1+waaboos+NA+ThmPos+4	niwaaboozoman

1+waaboos+NA+ThmPos+Loc	niwaaboozoming

1+waaboos+NA+ThmPos+Pl	niwaaboozomag

2+waaboos+NA+ThmPos+4	giwaaboozoman

2+waaboos+NA+ThmPos+Loc	giwaaboozoming

2+waaboos+NA+ThmPos+Pl	giwaaboozomag

3+waaboos+NA+ThmPos+4	owaaboozoman

3+waaboos+NA+ThmPos+Loc	owaaboozoming

X+waaboos+NA+ThmPos+4	iwaaboozoman

X+waaboos+NA+ThmPos+Loc	iwaaboozoming

X+waaboos+NA+ThmPos+Pl	iwaaboozomag

1+waaboos+NA+Pej+1+Pl	niwaaboozoshnaan
1+waaboos+NA+Pej+1+Pl	niwaaboozoshnaa

2+waaboos+NA+Pej+1+Pl	giwaaboozoshnaan
2+waaboos+NA+Pej+1+Pl	giwaaboozoshnaa

2+waaboos+NA+Pej+2+Pl	giwaaboozoshwaa

3+waaboos+NA+Pej+3+4	owaaboozoshniw

1+waaboos+NA+Pej+Prt	niwaaboozoshiban
1+waaboos+NA+Pej+Prt	niwaaboozoshiba

1+waaboos+NA+Pej+Voc+Pl	niwaaboozoshdig

2+waaboos+NA+Pej+Prt	giwaaboozoshiban
2+waaboos+NA+Pej+Prt	giwaaboozoshiba

2+waaboos+NA+Pej+Voc+Pl	giwaaboozoshdig

X+waaboos+NA+Pej+Prt	iwaaboozoshiban
X+waaboos+NA+Pej+Prt	iwaaboozoshiba

X+waaboos+NA+Pej+Voc+Pl	iwaaboozoshdig

1+waaboos+NA+Pej+4	niwaaboozoshan

1+waaboos+NA+Pej+Loc	niwaaboozoshing

1+waaboos+NA+Pej+Pl	niwaaboozoshag

2+waaboos+NA+Pej+4	giwaaboozoshan

2+waaboos+NA+Pej+Loc	giwaaboozoshing

2+waaboos+NA+Pej+Pl	giwaaboozoshag

3+waaboos+NA+Pej+4	owaaboozoshan

3+waaboos+NA+Pej+Loc	owaaboozoshing

X+waaboos+NA+Pej+4	iwaaboozoshan

X+waaboos+NA+Pej+Loc	iwaaboozoshing

X+waaboos+NA+Pej+Pl	iwaaboozoshag

1+waaboos+NA+1+Pl+Prt	niwaaboozonaaniban
1+waaboos+NA+1+Pl+Prt	niwaaboozonaaniba

1+waaboos+NA+1+Pl+Voc+Pl	niwaaboozonaany1dig

2+waaboos+NA+1+Pl+Prt	giwaaboozonaaniban
2+waaboos+NA+1+Pl+Prt	giwaaboozonaaniba

2+waaboos+NA+1+Pl+Voc+Pl	giwaaboozonaany1dig

2+waaboos+NA+2+Pl+Prt	giwaaboozowaaban
2+waaboos+NA+2+Pl+Prt	giwaaboozowaaba

2+waaboos+NA+2+Pl+Voc+Pl	giwaaboozowaadig

3+waaboos+NA+3+4+Prt	owaaboozoniwiban
3+waaboos+NA+3+4+Prt	owaaboozoniwiba
3+waaboos+NA+3+4+Prt	owaaboozoniiban
3+waaboos+NA+3+4+Prt	owaaboozoniiba

1+waaboos+NA+1+Pl+4	niwaaboozonaanin

1+waaboos+NA+1+Pl+Loc	niwaaboozonaaning

1+waaboos+NA+1+Pl+Pl	niwaaboozonaany1ag

2+waaboos+NA+1+Pl+4	giwaaboozonaanin

2+waaboos+NA+1+Pl+Loc	giwaaboozonaaning

2+waaboos+NA+1+Pl+Pl	giwaaboozonaany1ag

2+waaboos+NA+2+Pl+4	giwaaboozowaan

2+waaboos+NA+2+Pl+Loc	giwaaboozowaang

2+waaboos+NA+2+Pl+Pl	giwaaboozowaaag

3+waaboos+NA+2+Pl+4	owaaboozowaan

3+waaboos+NA+2+Pl+Loc	owaaboozowaang

3+waaboos+NA+3+4+4	owaaboozoniwan

3+waaboos+NA+3+4+Loc	owaaboozoniing

1+waaboos+NA+Prt+4	niwaaboozobaniin

1+waaboos+NA+Prt+Loc	niwaaboozobaniing

1+waaboos+NA+Prt+Pl	niwaaboozobani1ag

2+waaboos+NA+Prt+4	giwaaboozobaniin

2+waaboos+NA+Prt+Loc	giwaaboozobaniing

2+waaboos+NA+Prt+Pl	giwaaboozobani1ag

3+waaboos+NA+Prt+4	owaaboozobaniin

3+waaboos+NA+Prt+Loc	owaaboozobaniing

X+waaboos+NA+Prt+4	iwaaboozobaniin

X+waaboos+NA+Prt+Loc	iwaaboozobaniing

X+waaboos+NA+Prt+Pl	iwaaboozobani1ag

waaboos+NA+Con+Pej+Prt	waaboozoenyishiban
waaboos+NA+Con+Pej+Prt	waaboozoenyishiba

waaboos+NA+Con+Pej+Voc+Pl	waaboozoenyishdig

waaboos+NA+Dim+Pej+Prt	waaboozoensishiban
waaboos+NA+Dim+Pej+Prt	waaboozoensishiba

waaboos+NA+Dim+Pej+Voc+Pl	waaboozoensishdig

waaboos+NA+Con+Pej+4	waaboozoenyishan

waaboos+NA+Con+Pej+Loc	waaboozoenyishing

waaboos+NA+Con+Pej+Pl	waaboozoenyishag

waaboos+NA+Dim+Pej+4	waaboozoensishan

waaboos+NA+Dim+Pej+Loc	waaboozoensishing

waaboos+NA+Dim+Pej+Pl	waaboozoensishag

waaboos+NA+Con+Prt+4	waaboozoenyibaniin

waaboos+NA+Con+Prt+Loc	waaboozoenyibaniing

waaboos+NA+Con+Prt+Pl	waaboozoenyibani1ag

waaboos+NA+Dim+Prt+4	waaboozoensibaniin

waaboos+NA+Dim+Prt+Loc	waaboozoensibaniing

waaboos+NA+Dim+Prt+Pl	waaboozoensibani1ag

waaboos+NA+Pej+Prt+4	waaboozoshibaniin

waaboos+NA+Pej+Prt+Loc	waaboozoshibaniing

waaboos+NA+Pej+Prt+Pl	waaboozoshibani1ag

1+waaboos+NA+Con+ThmPos+Pej	niwaaboozoenymish

1+waaboos+NA+Dim+ThmPos+Pej	niwaaboozoensmish

2+waaboos+NA+Con+ThmPos+Pej	giwaaboozoenymish

2+waaboos+NA+Dim+ThmPos+Pej	giwaaboozoensmish

X+waaboos+NA+Con+ThmPos+Pej	iwaaboozoenymish

X+waaboos+NA+Dim+ThmPos+Pej	iwaaboozoensmish

1+waaboos+NA+Con+ThmPos+1+Pl	niwaaboozoenymnaan
1+waaboos+NA+Con+ThmPos+1+Pl	niwaaboozoenymnaa

1+waaboos+NA+Dim+ThmPos+1+Pl	niwaaboozoensmnaan
1+waaboos+NA+Dim+ThmPos+1+Pl	niwaaboozoensmnaa

2+waaboos+NA+Con+ThmPos+1+Pl	giwaaboozoenymnaan
2+waaboos+NA+Con+ThmPos+1+Pl	giwaaboozoenymnaa

2+waaboos+NA+Con+ThmPos+2+Pl	giwaaboozoenymwaa

2+waaboos+NA+Dim+ThmPos+1+Pl	giwaaboozoensmnaan
2+waaboos+NA+Dim+ThmPos+1+Pl	giwaaboozoensmnaa

2+waaboos+NA+Dim+ThmPos+2+Pl	giwaaboozoensmwaa

3+waaboos+NA+Con+ThmPos+3+4	owaaboozoenymniw

3+waaboos+NA+Dim+ThmPos+3+4	owaaboozoensmniw

1+waaboos+NA+Con+ThmPos+Prt	niwaaboozoenymiban
1+waaboos+NA+Con+ThmPos+Prt	niwaaboozoenymiba

1+waaboos+NA+Con+ThmPos+Voc+Pl	niwaaboozoenymdig

1+waaboos+NA+Dim+ThmPos+Prt	niwaaboozoensmiban
1+waaboos+NA+Dim+ThmPos+Prt	niwaaboozoensmiba

1+waaboos+NA+Dim+ThmPos+Voc+Pl	niwaaboozoensmdig

2+waaboos+NA+Con+ThmPos+Prt	giwaaboozoenymiban
2+waaboos+NA+Con+ThmPos+Prt	giwaaboozoenymiba

2+waaboos+NA+Con+ThmPos+Voc+Pl	giwaaboozoenymdig

2+waaboos+NA+Dim+ThmPos+Prt	giwaaboozoensmiban
2+waaboos+NA+Dim+ThmPos+Prt	giwaaboozoensmiba

2+waaboos+NA+Dim+ThmPos+Voc+Pl	giwaaboozoensmdig

X+waaboos+NA+Con+ThmPos+Prt	iwaaboozoenymiban
X+waaboos+NA+Con+ThmPos+Prt	iwaaboozoenymiba

X+waaboos+NA+Con+ThmPos+Voc+Pl	iwaaboozoenymdig

X+waaboos+NA+Dim+ThmPos+Prt	iwaaboozoensmiban
X+waaboos+NA+Dim+ThmPos+Prt	iwaaboozoensmiba

X+waaboos+NA+Dim+ThmPos+Voc+Pl	iwaaboozoensmdig

1+waaboos+NA+Con+ThmPos+4	niwaaboozoenyman

1+waaboos+NA+Con+ThmPos+Loc	niwaaboozoenyming

1+waaboos+NA+Con+ThmPos+Pl	niwaaboozoenymag

1+waaboos+NA+Dim+ThmPos+4	niwaaboozoensman

1+waaboos+NA+Dim+ThmPos+Loc	niwaaboozoensming

1+waaboos+NA+Dim+ThmPos+Pl	niwaaboozoensmag

2+waaboos+NA+Con+ThmPos+4	giwaaboozoenyman

2+waaboos+NA+Con+ThmPos+Loc	giwaaboozoenyming

2+waaboos+NA+Con+ThmPos+Pl	giwaaboozoenymag

2+waaboos+NA+Dim+ThmPos+4	giwaaboozoensman

2+waaboos+NA+Dim+ThmPos+Loc	giwaaboozoensming

2+waaboos+NA+Dim+ThmPos+Pl	giwaaboozoensmag

3+waaboos+NA+Con+ThmPos+4	owaaboozoenyman

3+waaboos+NA+Con+ThmPos+Loc	owaaboozoenyming

3+waaboos+NA+Dim+ThmPos+4	owaaboozoensman

3+waaboos+NA+Dim+ThmPos+Loc	owaaboozoensming

X+waaboos+NA+Con+ThmPos+4	iwaaboozoenyman

X+waaboos+NA+Con+ThmPos+Loc	iwaaboozoenyming

X+waaboos+NA+Con+ThmPos+Pl	iwaaboozoenymag

X+waaboos+NA+Dim+ThmPos+4	iwaaboozoensman

X+waaboos+NA+Dim+ThmPos+Loc	iwaaboozoensming

X+waaboos+NA+Dim+ThmPos+Pl	iwaaboozoensmag

1+waaboos+NA+Con+Pej+1+Pl	niwaaboozoenyishnaan
1+waaboos+NA+Con+Pej+1+Pl	niwaaboozoenyishnaa

1+waaboos+NA+Dim+Pej+1+Pl	niwaaboozoensishnaan
1+waaboos+NA+Dim+Pej+1+Pl	niwaaboozoensishnaa

2+waaboos+NA+Con+Pej+1+Pl	giwaaboozoenyishnaan
2+waaboos+NA+Con+Pej+1+Pl	giwaaboozoenyishnaa

2+waaboos+NA+Con+Pej+2+Pl	giwaaboozoenyishwaa

2+waaboos+NA+Dim+Pej+1+Pl	giwaaboozoensishnaan
2+waaboos+NA+Dim+Pej+1+Pl	giwaaboozoensishnaa

2+waaboos+NA+Dim+Pej+2+Pl	giwaaboozoensishwaa

3+waaboos+NA+Con+Pej+3+4	owaaboozoenyishniw

3+waaboos+NA+Dim+Pej+3+4	owaaboozoensishniw

1+waaboos+NA+Con+Pej+Prt	niwaaboozoenyishiban
1+waaboos+NA+Con+Pej+Prt	niwaaboozoenyishiba

1+waaboos+NA+Con+Pej+Voc+Pl	niwaaboozoenyishdig

1+waaboos+NA+Dim+Pej+Prt	niwaaboozoensishiban
1+waaboos+NA+Dim+Pej+Prt	niwaaboozoensishiba

1+waaboos+NA+Dim+Pej+Voc+Pl	niwaaboozoensishdig

2+waaboos+NA+Con+Pej+Prt	giwaaboozoenyishiban
2+waaboos+NA+Con+Pej+Prt	giwaaboozoenyishiba

2+waaboos+NA+Con+Pej+Voc+Pl	giwaaboozoenyishdig

2+waaboos+NA+Dim+Pej+Prt	giwaaboozoensishiban
2+waaboos+NA+Dim+Pej+Prt	giwaaboozoensishiba

2+waaboos+NA+Dim+Pej+Voc+Pl	giwaaboozoensishdig

