waawaatesi+NA	waawaatesiw

1+waawaatesi+NA	niwaawaatesiw

2+waawaatesi+NA	giwaawaatesiw

X+waawaatesi+NA	iwaawaatesiw

waawaatesi+NA+Con	waawaatesiwenh

waawaatesi+NA+Dim	waawaatesiwens

waawaatesi+NA+Pej	waawaatesiwsh

waawaatesi+NA+Prt	waawaatesiwbani1

waawaatesi+NA+Voc+Pl	waawaatesiwdig

waawaatesi+NA+4	waawaatesiwan

waawaatesi+NA+Loc	waawaatesiwng

waawaatesi+NA+Pl	waawaatesiwag

1+waawaatesi+NA+Con	niwaawaatesiwenh

1+waawaatesi+NA+Dim	niwaawaatesiwens

2+waawaatesi+NA+Con	giwaawaatesiwenh

2+waawaatesi+NA+Dim	giwaawaatesiwens

X+waawaatesi+NA+Con	iwaawaatesiwenh

X+waawaatesi+NA+Dim	iwaawaatesiwens

1+waawaatesi+NA+ThmPos	niwaawaatesiwm

2+waawaatesi+NA+ThmPos	giwaawaatesiwm

X+waawaatesi+NA+ThmPos	iwaawaatesiwm

1+waawaatesi+NA+Pej	niwaawaatesiwsh

2+waawaatesi+NA+Pej	giwaawaatesiwsh

X+waawaatesi+NA+Pej	iwaawaatesiwsh

1+waawaatesi+NA+1+Pl	niwaawaatesiwnaan
1+waawaatesi+NA+1+Pl	niwaawaatesiwnaa

2+waawaatesi+NA+1+Pl	giwaawaatesiwnaan
2+waawaatesi+NA+1+Pl	giwaawaatesiwnaa

2+waawaatesi+NA+2+Pl	giwaawaatesiwwaa

3+waawaatesi+NA+3+4	owaawaatesiwniw

1+waawaatesi+NA+Prt	niwaawaatesiwbani1

1+waawaatesi+NA+Voc+Pl	niwaawaatesiwdig

2+waawaatesi+NA+Prt	giwaawaatesiwbani1

2+waawaatesi+NA+Voc+Pl	giwaawaatesiwdig

X+waawaatesi+NA+Prt	iwaawaatesiwbani1

X+waawaatesi+NA+Voc+Pl	iwaawaatesiwdig

1+waawaatesi+NA+4	niwaawaatesiwan

1+waawaatesi+NA+Loc	niwaawaatesiwng

1+waawaatesi+NA+Pl	niwaawaatesiwag

2+waawaatesi+NA+4	giwaawaatesiwan

2+waawaatesi+NA+Loc	giwaawaatesiwng

2+waawaatesi+NA+Pl	giwaawaatesiwag

3+waawaatesi+NA+4	owaawaatesiwan

