mkomii+NI	makomii

1+mkomii+NI	nimakomii

2+mkomii+NI	gimakomii

3+mkomii+NI	omakomii

X+mkomii+NI	imakomii

mkomii+NI+Con	makomiienh

mkomii+NI+Dim	makomiiens

mkomii+NI+Pej	makomiish

mkomii+NI+Prt	makomiibani1

mkomii+NI+Voc+Pl	makomiidig

mkomii+NI+4	makomiian

mkomii+NI+Loc	makomiing

mkomii+NI+Pl	makomiian

1+mkomii+NI+Con	nimakomiienh

1+mkomii+NI+Dim	nimakomiiens

2+mkomii+NI+Con	gimakomiienh

2+mkomii+NI+Dim	gimakomiiens

3+mkomii+NI+Con	omakomiienh

3+mkomii+NI+Dim	omakomiiens

X+mkomii+NI+Con	imakomiienh

X+mkomii+NI+Dim	imakomiiens

1+mkomii+NI+ThmPos	nimakomiim

2+mkomii+NI+ThmPos	gimakomiim

3+mkomii+NI+ThmPos	omakomiim

X+mkomii+NI+ThmPos	imakomiim

1+mkomii+NI+Pej	nimakomiish

2+mkomii+NI+Pej	gimakomiish

3+mkomii+NI+Pej	omakomiish

X+mkomii+NI+Pej	imakomiish

1+mkomii+NI+1+Pl	nimakomiinaan
1+mkomii+NI+1+Pl	nimakomiinaa

2+mkomii+NI+1+Pl	gimakomiinaan
2+mkomii+NI+1+Pl	gimakomiinaa

2+mkomii+NI+2+Pl	gimakomiiwaa

3+mkomii+NI+2+Pl	omakomiiwaa

3+mkomii+NI+3+4	omakomiiniw

1+mkomii+NI+Prt	nimakomiibani1

1+mkomii+NI+Voc+Pl	nimakomiidig

2+mkomii+NI+Prt	gimakomiibani1

2+mkomii+NI+Voc+Pl	gimakomiidig

3+mkomii+NI+Prt	omakomiibani1

3+mkomii+NI+Voc+Pl	omakomiidig

X+mkomii+NI+Prt	imakomiibani1

X+mkomii+NI+Voc+Pl	imakomiidig

1+mkomii+NI+4	nimakomiian

1+mkomii+NI+Loc	nimakomiing

1+mkomii+NI+Pl	nimakomiian

2+mkomii+NI+4	gimakomiian

2+mkomii+NI+Loc	gimakomiing

2+mkomii+NI+Pl	gimakomiian

3+mkomii+NI+4	omakomiian

3+mkomii+NI+Loc	omakomiing

3+mkomii+NI+Pl	omakomiian

X+mkomii+NI+4	imakomiian

X+mkomii+NI+Loc	imakomiing

X+mkomii+NI+Pl	imakomiian

mkomii+NI+Con+Pej	makomiienyish

mkomii+NI+Dim+Pej	makomiiensish

mkomii+NI+Con+Prt	makomiienyiban
mkomii+NI+Con+Prt	makomiienyiba

mkomii+NI+Con+Voc+Pl	makomiienydig

mkomii+NI+Dim+Prt	makomiiensiban
mkomii+NI+Dim+Prt	makomiiensiba

mkomii+NI+Dim+Voc+Pl	makomiiensdig

mkomii+NI+Con+4	makomiienyin

mkomii+NI+Con+Loc	makomiienying

mkomii+NI+Con+Pl	makomiienyan

mkomii+NI+Dim+4	makomiiensan

mkomii+NI+Dim+Loc	makomiiensing

mkomii+NI+Dim+Pl	makomiiensan

mkomii+NI+Pej+Prt	makomiishiban
mkomii+NI+Pej+Prt	makomiishiba

mkomii+NI+Pej+Voc+Pl	makomiishdig

mkomii+NI+Pej+4	makomiishan

mkomii+NI+Pej+Loc	makomiishing

mkomii+NI+Pej+Pl	makomiishan

mkomii+NI+Prt+4	makomiibaniin

mkomii+NI+Prt+Loc	makomiibaniing

mkomii+NI+Prt+Pl	makomiibani1an

1+mkomii+NI+Con+ThmPos	nimakomiienym

1+mkomii+NI+Dim+ThmPos	nimakomiiensm

2+mkomii+NI+Con+ThmPos	gimakomiienym

2+mkomii+NI+Dim+ThmPos	gimakomiiensm

3+mkomii+NI+Con+ThmPos	omakomiienym

3+mkomii+NI+Dim+ThmPos	omakomiiensm

X+mkomii+NI+Con+ThmPos	imakomiienym

X+mkomii+NI+Dim+ThmPos	imakomiiensm

1+mkomii+NI+Con+Pej	nimakomiienyish

1+mkomii+NI+Dim+Pej	nimakomiiensish

2+mkomii+NI+Con+Pej	gimakomiienyish

2+mkomii+NI+Dim+Pej	gimakomiiensish

3+mkomii+NI+Con+Pej	omakomiienyish

3+mkomii+NI+Dim+Pej	omakomiiensish

X+mkomii+NI+Con+Pej	imakomiienyish

X+mkomii+NI+Dim+Pej	imakomiiensish

1+mkomii+NI+Con+1+Pl	nimakomiienynaan
1+mkomii+NI+Con+1+Pl	nimakomiienynaa

1+mkomii+NI+Dim+1+Pl	nimakomiiensnaan
1+mkomii+NI+Dim+1+Pl	nimakomiiensnaa

2+mkomii+NI+Con+1+Pl	gimakomiienynaan
2+mkomii+NI+Con+1+Pl	gimakomiienynaa

