1+boodwe+VAI	niboodawe

2+boodwe+VAI	giboodawe

boodwe+VAI+3	boodawew

boodwe+VAI+X	boodawem

1+boodwe+VAI+1+Pl	niboodawemin
1+boodwe+VAI+1+Pl	niboodawemi

2+boodwe+VAI+1+Pl	giboodawemin
2+boodwe+VAI+1+Pl	giboodawemi

2+boodwe+VAI+2+Pl	giboodawem

boodwe+VAI+3+3+4	boodawewan

boodwe+VAI+3+3+Pl	boodawewag

1+boodwe+VAI+Prt	niboodawenaaban
1+boodwe+VAI+Prt	niboodawenaaba

2+boodwe+VAI+Prt	giboodawenaaban
2+boodwe+VAI+Prt	giboodawenaaba

1+boodwe+VAI+Dub	niboodawenaadig

2+boodwe+VAI+Dub	giboodawenaadig

boodwe+VAI+3+Prt	boodaweoban
boodwe+VAI+3+Prt	boodaweoba
boodwe+VAI+3+Prt	boodawewiban
boodwe+VAI+3+Prt	boodawewiba

boodwe+VAI+3+Dub	boodaweodig
boodwe+VAI+3+Dub	boodawewidig

boodwe+VAI+X+Prt	boodawemiban
boodwe+VAI+X+Prt	boodawemiba
boodwe+VAI+X+Prt	boodawemaban
boodwe+VAI+X+Prt	boodawemaba

boodwe+VAI+X+Dub	boodawemidig

boodwe+VAI+3+Prt+Dub	boodawegoban
boodwe+VAI+3+Prt+Dub	boodawegoba

boodwe+VAI+3+4+Prt+Dub	boodaweinigoban
boodwe+VAI+3+4+Prt+Dub	boodaweinigoba

boodwe+VAI+3+2+Pl+Prt+Dub	boodawewaagoban
boodwe+VAI+3+2+Pl+Prt+Dub	boodawewaagoba

boodwe+VAI+X+Prt+Dub	boodawemigoban
boodwe+VAI+X+Prt+Dub	boodawemigoba

1+boodwe+VAI+1+Pl+Prt	niboodaweminaaban
1+boodwe+VAI+1+Pl+Prt	niboodaweminaaba

2+boodwe+VAI+1+Pl+Prt	giboodaweminaaban
2+boodwe+VAI+1+Pl+Prt	giboodaweminaaba

2+boodwe+VAI+2+Pl+Prt	giboodawemwaaban
2+boodwe+VAI+2+Pl+Prt	giboodawemwaaba

