mchaa+VII+0	michaaw

mchaa+VII+0+4	michaaini

mchaa+VII+0+Prt	michaabani1

mchaa+VII+0+4+Prt	michaainiwiban
mchaa+VII+0+4+Prt	michaainiwiba
mchaa+VII+0+4+Prt	michaainiiban
mchaa+VII+0+4+Prt	michaainiiba

mchaa+VII+0+Dub	michaadig

mchaa+VII+0+4+Dub	michaainiwidig
mchaa+VII+0+4+Dub	michaainiidig

mchaa+VII+0+Prt+Dub	michaagoban
mchaa+VII+0+Prt+Dub	michaagoba

mchaa+VII+0+4+Prt+Dub	michaainiwigoban
mchaa+VII+0+4+Prt+Dub	michaainiwigoba
mchaa+VII+0+4+Prt+Dub	michaainiigoban
mchaa+VII+0+4+Prt+Dub	michaainiigoba

mchaa+VII+0+Prt+0+Pl	michaabaniin

mchaa+VII+0+4+Prt+0+Pl	michaainiwibaniin
mchaa+VII+0+4+Prt+0+Pl	michaainiibaniin

mchaa+VII+0+Dub+0+Pl	michaadigenan

mchaa+VII+0+4+Dub+0+Pl	michaainiwidigenan
mchaa+VII+0+4+Dub+0+Pl	michaainiidigenan

mchaa+VII+0+Prt+Dub+0+Pl	michaagobaniin

mchaa+VII+0+4+Prt+Dub+0+Pl	michaainiwigobaniin
mchaa+VII+0+4+Prt+Dub+0+Pl	michaainiigobaniin

mchaa+VII+0+0+Pl	michaawan

mchaa+VII+0+4+0+Pl	michaainiwan

mchaa+VII+Neg+0	michaasinoo

mchaa+VII+Neg+0+4	michaasinooni

mchaa+VII+Neg+0+Prt	michaasinooban
mchaa+VII+Neg+0+Prt	michaasinooba

mchaa+VII+Neg+0+4+Prt	michaasinooniwiban
mchaa+VII+Neg+0+4+Prt	michaasinooniwiba
mchaa+VII+Neg+0+4+Prt	michaasinooniiban
mchaa+VII+Neg+0+4+Prt	michaasinooniiba

mchaa+VII+Neg+0+Dub	michaasinoodig

mchaa+VII+Neg+0+4+Dub	michaasinooniwidig
mchaa+VII+Neg+0+4+Dub	michaasinooniidig

mchaa+VII+Neg+0+Prt+Dub	michaasinoogoban
mchaa+VII+Neg+0+Prt+Dub	michaasinoogoba

mchaa+VII+Neg+0+4+Prt+Dub	michaasinooniwigoban
mchaa+VII+Neg+0+4+Prt+Dub	michaasinooniwigoba
mchaa+VII+Neg+0+4+Prt+Dub	michaasinooniigoban
mchaa+VII+Neg+0+4+Prt+Dub	michaasinooniigoba

mchaa+VII+Neg+0+Prt+0+Pl	michaasinoobaniin

mchaa+VII+Neg+0+4+Prt+0+Pl	michaasinooniwibaniin
mchaa+VII+Neg+0+4+Prt+0+Pl	michaasinooniibaniin

mchaa+VII+Neg+0+Dub+0+Pl	michaasinoodigenan

mchaa+VII+Neg+0+4+Dub+0+Pl	michaasinooniwidigenan
mchaa+VII+Neg+0+4+Dub+0+Pl	michaasinooniidigenan

mchaa+VII+Neg+0+Prt+Dub+0+Pl	michaasinoogobaniin

mchaa+VII+Neg+0+4+Prt+Dub+0+Pl	michaasinooniwigobaniin
mchaa+VII+Neg+0+4+Prt+Dub+0+Pl	michaasinooniigobaniin

mchaa+VII+Neg+0+0+Pl	michaasinoowan

mchaa+VII+Neg+0+4+0+Pl	michaasinooniwan

