2+waabmaa+VTA+Thm2	giwaabami

2+waabmaa+VTA+Thm1Sg	giwaabamin

2+waabmaa+VTA+Thm1Pl	giwaabamigoo

2+waabmaa+VTA+ThmDir	giwaabamaa

2+waabmaa+VTA+ThmInv	giwaabamigo

1+waabmaa+VTA+ThmDir	niwaabamaa

1+waabmaa+VTA+ThmInv	niwaabamigo

2+waabmaa+VTA+ThmInv+0	giwaabamigon

1+waabmaa+VTA+ThmInv+0	niwaabamigon

3+waabmaa+VTA+ThmInv+0	owaabamigon

2+waabmaa+VTA+Thm2+2+Pl	giwaabamim

2+waabmaa+VTA+Thm2+1+Pl	giwaabamimin
2+waabmaa+VTA+Thm2+1+Pl	giwaabamimi

2+waabmaa+VTA+Thm1Sg+2+Pl	giwaabamininim

2+waabmaa+VTA+Thm1Pl+2+Pl	giwaabamigoom

2+waabmaa+VTA+ThmDir+1+Pl	giwaabamaanaan
2+waabmaa+VTA+ThmDir+1+Pl	giwaabamaanaa

2+waabmaa+VTA+ThmDir+2+Pl	giwaabamaawaa

2+waabmaa+VTA+ThmInv+1+Pl	giwaabamigonaan
2+waabmaa+VTA+ThmInv+1+Pl	giwaabamigonaa

2+waabmaa+VTA+ThmInv+2+Pl	giwaabamigowaa

1+waabmaa+VTA+ThmDir+1+Pl	niwaabamaanaan
1+waabmaa+VTA+ThmDir+1+Pl	niwaabamaanaa

1+waabmaa+VTA+ThmInv+1+Pl	niwaabamigonaan
1+waabmaa+VTA+ThmInv+1+Pl	niwaabamigonaa

2+waabmaa+VTA+Thm2+Prt	giwaabaminaaban
2+waabmaa+VTA+Thm2+Prt	giwaabaminaaba

2+waabmaa+VTA+Thm2+Dub	giwaabaminaadig

2+waabmaa+VTA+Thm1Sg+Prt	giwaabaminnaaban
2+waabmaa+VTA+Thm1Sg+Prt	giwaabaminnaaba

2+waabmaa+VTA+Thm1Sg+Dub	giwaabaminnaadig

2+waabmaa+VTA+Thm1Pl+Prt	giwaabamigoonaaban
2+waabmaa+VTA+Thm1Pl+Prt	giwaabamigoonaaba

2+waabmaa+VTA+Thm1Pl+Dub	giwaabamigoonaadig

2+waabmaa+VTA+ThmDir+Prt	giwaabamaabani1

2+waabmaa+VTA+ThmDir+Dub	giwaabamaadig

2+waabmaa+VTA+ThmInv+Prt	giwaabamigobani1

2+waabmaa+VTA+ThmInv+Dub	giwaabamigodig

1+waabmaa+VTA+ThmDir+Prt	niwaabamaabani1

1+waabmaa+VTA+ThmDir+Dub	niwaabamaadig

1+waabmaa+VTA+ThmInv+Prt	niwaabamigobani1

1+waabmaa+VTA+ThmInv+Dub	niwaabamigodig

3+waabmaa+VTA+ThmDir+3+4	owaabamaaan

3+waabmaa+VTA+ThmInv+3+4	owaabamigoan

2+waabmaa+VTA+ThmInv+0+2+Pl	giwaabamigonaawaa

2+waabmaa+VTA+ThmInv+0+1+Pl	giwaabamigonaan
2+waabmaa+VTA+ThmInv+0+1+Pl	giwaabamigonaa

1+waabmaa+VTA+ThmInv+0+1+Pl	niwaabamigonaan
1+waabmaa+VTA+ThmInv+0+1+Pl	niwaabamigonaa

3+waabmaa+VTA+ThmInv+0+2+Pl	owaabamigonaawaa

2+waabmaa+VTA+ThmInv+0+Prt	giwaabamigonaabani1

2+waabmaa+VTA+ThmInv+0+Dub	giwaabamigonaadig

1+waabmaa+VTA+ThmInv+0+Prt	niwaabamigonaabani1

1+waabmaa+VTA+ThmInv+0+Dub	niwaabamigonaadig

3+waabmaa+VTA+ThmInv+0+Prt	owaabamigonaabani1

3+waabmaa+VTA+ThmInv+0+Dub	owaabamigonaadig

2+waabmaa+VTA+ThmInv+0+0+Pl	giwaabamigonan

1+waabmaa+VTA+ThmInv+0+0+Pl	niwaabamigonan

3+waabmaa+VTA+ThmInv+0+0+Pl	owaabamigonan

2+waabmaa+VTA+Thm2+2+Pl+Prt	giwaabamimwaaban
2+waabmaa+VTA+Thm2+2+Pl+Prt	giwaabamimwaaba

2+waabmaa+VTA+Thm2+2+Pl+Dub	giwaabamimwaadig

2+waabmaa+VTA+Thm2+1+Pl+Prt	giwaabamiminaaban
2+waabmaa+VTA+Thm2+1+Pl+Prt	giwaabamiminaaba

2+waabmaa+VTA+Thm2+1+Pl+Dub	giwaabamiminaadig

2+waabmaa+VTA+Thm1Sg+2+Pl+Prt	giwaabamininimwaaban
2+waabmaa+VTA+Thm1Sg+2+Pl+Prt	giwaabamininimwaaba

2+waabmaa+VTA+Thm1Sg+2+Pl+Dub	giwaabamininimwaadig

2+waabmaa+VTA+Thm1Pl+2+Pl+Prt	giwaabamigoomwaaban
2+waabmaa+VTA+Thm1Pl+2+Pl+Prt	giwaabamigoomwaaba

2+waabmaa+VTA+Thm1Pl+2+Pl+Dub	giwaabamigoomwaadig

2+waabmaa+VTA+ThmDir+1+Pl+Prt	giwaabamaaminaabani1

2+waabmaa+VTA+ThmDir+1+Pl+Dub	giwaabamaaminaadig

2+waabmaa+VTA+ThmDir+2+Pl+Prt	giwaabamaawaabani1

2+waabmaa+VTA+ThmDir+2+Pl+Dub	giwaabamaawaadig

2+waabmaa+VTA+ThmInv+1+Pl+Prt	giwaabamigominaabani1

2+waabmaa+VTA+ThmInv+1+Pl+Dub	giwaabamigominaadig

2+waabmaa+VTA+ThmInv+2+Pl+Prt	giwaabamigowaabani1

2+waabmaa+VTA+ThmInv+2+Pl+Dub	giwaabamigowaadig

1+waabmaa+VTA+ThmDir+1+Pl+Prt	niwaabamaaminaabani1

1+waabmaa+VTA+ThmDir+1+Pl+Dub	niwaabamaaminaadig

1+waabmaa+VTA+ThmInv+1+Pl+Prt	niwaabamigominaabani1

1+waabmaa+VTA+ThmInv+1+Pl+Dub	niwaabamigominaadig

2+waabmaa+VTA+ThmDir+1+Pl+3+Pl	giwaabamaanaany1ag

2+waabmaa+VTA+ThmDir+2+Pl+3+Pl	giwaabamaawaaag

2+waabmaa+VTA+ThmInv+1+Pl+3+Pl	giwaabamigonaany1ag

2+waabmaa+VTA+ThmInv+2+Pl+3+Pl	giwaabamigowaaag

1+waabmaa+VTA+ThmDir+1+Pl+3+Pl	niwaabamaanaany1ag

1+waabmaa+VTA+ThmInv+1+Pl+3+Pl	niwaabamigonaany1ag

3+waabmaa+VTA+ThmDir+2+Pl+3+4	owaabamaawaan

3+waabmaa+VTA+ThmInv+2+Pl+3+4	owaabamigowaan

2+waabmaa+VTA+ThmDir+Prt+3+Pl	giwaabamaabani1ag

2+waabmaa+VTA+ThmDir+Dub+3+Pl	giwaabamaadigenag

2+waabmaa+VTA+ThmInv+Prt+3+Pl	giwaabamigobani1ag

2+waabmaa+VTA+ThmInv+Dub+3+Pl	giwaabamigodigenag

1+waabmaa+VTA+ThmDir+Prt+3+Pl	niwaabamaabani1ag

1+waabmaa+VTA+ThmDir+Dub+3+Pl	niwaabamaadigenag

1+waabmaa+VTA+ThmInv+Prt+3+Pl	niwaabamigobani1ag

1+waabmaa+VTA+ThmInv+Dub+3+Pl	niwaabamigodigenag

3+waabmaa+VTA+ThmDir+Prt+3+4	owaabamaabani1an

3+waabmaa+VTA+ThmDir+Dub+3+4	owaabamaadigenan

3+waabmaa+VTA+ThmInv+Prt+3+4	owaabamigobani1an

3+waabmaa+VTA+ThmInv+Dub+3+4	owaabamigodigenan

2+waabmaa+VTA+ThmInv+0+2+Pl+Prt	giwaabamigonaawaabani1

2+waabmaa+VTA+ThmInv+0+2+Pl+Dub	giwaabamigonaawaadig

2+waabmaa+VTA+ThmInv+0+1+Pl+Prt	giwaabamigominaabani1

2+waabmaa+VTA+ThmInv+0+1+Pl+Dub	giwaabamigominaadig

1+waabmaa+VTA+ThmInv+0+1+Pl+Prt	niwaabamigominaabani1

1+waabmaa+VTA+ThmInv+0+1+Pl+Dub	niwaabamigominaadig

3+waabmaa+VTA+ThmInv+0+2+Pl+Prt	owaabamigonaawaabani1

3+waabmaa+VTA+ThmInv+0+2+Pl+Dub	owaabamigonaawaadig

2+waabmaa+VTA+ThmInv+0+2+Pl+0+Pl	giwaabamigonaawaan

2+waabmaa+VTA+ThmInv+0+1+Pl+0+Pl	giwaabamigonaany1an

1+waabmaa+VTA+ThmInv+0+1+Pl+0+Pl	niwaabamigonaany1an

3+waabmaa+VTA+ThmInv+0+2+Pl+0+Pl	owaabamigonaawaan

2+waabmaa+VTA+ThmInv+0+Prt+0+Pl	giwaabamigonaabani1an

2+waabmaa+VTA+ThmInv+0+Dub+0+Pl	giwaabamigonaadigenan

1+waabmaa+VTA+ThmInv+0+Prt+0+Pl	niwaabamigonaabani1an

1+waabmaa+VTA+ThmInv+0+Dub+0+Pl	niwaabamigonaadigenan

3+waabmaa+VTA+ThmInv+0+Prt+0+Pl	owaabamigonaabani1an

3+waabmaa+VTA+ThmInv+0+Dub+0+Pl	owaabamigonaadigenan
